,Unnamed: 0,videoId,scanTimeStamp,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,Epoch,firstTrendingTime,timeToTrendSeconds,isTrend
11,11,6f1Bg-fqBRg,2023-12-19 01:03:55.763489024+00:00,2023-12-17 10:00:12+00:00,367000,9,2566,Now,Entertainment,FR,124838,11000.0,434.0,True,"['one piece', 'one piece théorie', 'one piece theory', 'one', 'piece', 'theorie', 'one piece 1088', 'one piece chapitre', 'one piece spoil', 'Luffy', 'Nika', 'Gomu gomu no mi', 'hito hito no mi model nika', 'Joyboy', 'Haki', 'devil fruit', ""L'HISTOIRE DE LUFFY ET LA FIN DE ONE PIECE EXPLIQUÉE !"", 'Barbe Noire', 'Marshall D. teach', 'Teach vs Luffy', 'la disparition du gomu gomu no mi', 'Haki des rois', 'Luffy éveil', 'One Piece 1102', 'one piece review', 'Goji', 'anime', 'manga', 'Oda', 'iceberg one piece']",1,2023-12-19 01:03:55.763489024+00:00,140623.763489024,True
12,12,tfht2Piljo8,2023-12-19 01:03:55.763489024+00:00,2023-12-17 12:07:22+00:00,492000,10,334,Now,Entertainment,FR,373036,2800.0,1500.0,True,,1,2023-12-19 01:03:55.763489024+00:00,132993.763489024,True
13,13,ziq9BzdRvwY,2023-12-19 01:03:55.763489024+00:00,2023-12-17 18:00:28+00:00,146000,11,3163,Now,Entertainment,FR,138178,6800.0,172.0,True,,1,2023-12-19 01:03:55.763489024+00:00,111807.763489024,True
14,14,pIqARNahjJw,2023-12-19 01:03:55.763489024+00:00,2023-12-17 18:00:30+00:00,564000,12,545,Now,Science & Technology,FR,128319,15000.0,486.0,True,"['iphone', 'apple', 'imessage', 'rcs', 'bulle bleue', 'bulle verte', 'léo duff', 'beeper', 'android', 'ios']",1,2023-12-19 01:03:55.763489024+00:00,111805.763489024,True
15,15,usTqmg0xNZY,2023-12-19 01:03:55.763489024+00:00,2023-12-15 16:22:26+00:00,7240000,13,2246,Now,Entertainment,FR,1850346,169000.0,4600.0,True,"['mcfly', 'carlito', 'golden moustache', 'fatshow', 'badass', 'dab', ""j'effectue"", 'le', 'et', 'on', 'appelle', 'des', 'gens', 'au', 'hasard']",1,2023-12-19 01:03:55.763489024+00:00,290489.763489024,True
16,16,n4hyVsz7FMA,2023-12-19 01:03:55.763489024+00:00,2023-12-17 09:00:27+00:00,2430000,14,2988,Now,Entertainment,FR,112430,10000.0,328.0,True,"['horia', 'youtubeuse', 'true crime', 'thread horreur', 'Horia horreur', 'horroria', 'histoire horreur', 'la sombre histoire de', 'sombre histoire Horia', 'Lady Diana', 'la sombre histoire de lady diana', 'sombre histoire lady diana', 'lady diana reportage', 'lady diana documentaire', 'famille royale', 'prince charles', 'reine elisabeth', 'aromazone', 'skincare', 'mystère', 'étrange', 'lady diana mystère', 'histoire de lady diana', 'lady di', 'princesse diana', 'théories', 'lady diana théories', 'affaire', 'histoire lady di']",1,2023-12-19 01:03:55.763489024+00:00,144208.763489024,True
17,17,SwlRSu0jjyU,2023-12-19 01:03:55.763489024+00:00,2023-12-17 16:25:00+00:00,8330000,15,985,Now,Comedy,FR,1595615,119000.0,1200.0,True,"['amixem', 'humour', 'delire']",1,2023-12-19 01:03:55.763489024+00:00,117535.763489024,True
18,18,FrTfxDY2eyI,2023-12-19 01:03:55.763489024+00:00,2023-12-17 16:23:46+00:00,315000,16,621,Now,Comedy,FR,94371,13000.0,363.0,True,,1,2023-12-19 01:03:55.763489024+00:00,117609.763489024,True
19,19,W_l0npDNILY,2023-12-19 01:03:55.763489024+00:00,2023-12-17 13:00:31+00:00,2560000,17,966,Now,Gaming,FR,548554,42000.0,388.0,True,"['terracid', 'laink', 'wankil', 'lego', 'fortnite', 'minecraft', 'build', 'construction']",1,2023-12-19 01:03:55.763489024+00:00,129804.763489024,True
20,20,NGfpot1_2Is,2023-12-19 01:03:55.763489024+00:00,2023-12-17 11:00:12+00:00,548000,18,2023,Now,Howto & Style,FR,98131,9000.0,376.0,True,"['honeyshay', 'honey shay', 'Chaiyna', 'comores', 'lifestyle', 'beauté', 'vlog', 'famille', 'family game', 'habitue toi', 'Family', 'Family Games', 'Océane', 'Yoan', 'Yo4real']",1,2023-12-19 01:03:55.763489024+00:00,137023.763489024,True
21,21,igsQae0v0HQ,2023-12-19 01:03:55.763489024+00:00,2023-12-17 17:00:27+00:00,618000,19,1342,Now,Howto & Style,FR,177540,12000.0,103.0,True,['mayadorable'],1,2023-12-19 01:03:55.763489024+00:00,115408.763489024,True
22,22,TOIAdoDwYYs,2023-12-19 01:03:55.763489024+00:00,2023-12-17 09:30:05+00:00,230000,20,1207,Now,Gaming,FR,94130,8400.0,245.0,True,"['pokemon random', 'choisi ton starter', 'choisi ton pokemon', 'challenge pokemon', 'randomizer pokemon violet', 'randomizer pokemon ecarlate']",1,2023-12-19 01:03:55.763489024+00:00,142430.763489024,True
23,23,uKpgHMkjF_8,2023-12-19 01:03:55.763489024+00:00,2023-12-17 16:30:12+00:00,92100,21,1445,Now,Film & Animation,FR,54998,5400.0,337.0,False,"['film', 'films', 'chronique', 'cinema', 'saga', 'humour', 'analyse', 'box office', 'critique', 'resume', 'la suite de trop', 'video', 'youtube', 'critique cinema', 'critique de film', 'Cinéphile', 'Noel', 'Christmas', 'Aladdin', 'Le Roi Lion', 'La Belle et le Bete', 'Pocahontas', 'Disney', 'Le Retour de Jafar', 'Karime Debbache', 'Crossed', 'Chroma', 'Guillaume Cassar', 'Notserious', 'la petite sirene', 'mickey', 'La petite sirene 2', 'La Belle et le Clochard', 'La Belle et le Clochard 2', 'Le Bossu de Notre Dame', 'Cendrillon', 'PeterPan', 'Les 101 Dalmatiens', 'Cruella', 'Tarzan']",1,2023-12-19 01:03:55.763489024+00:00,117223.763489024,True
24,24,LY0Ll7LRYDI,2023-12-19 01:03:55.763489024+00:00,2023-12-17 17:09:58+00:00,5430000,22,953,Now,Entertainment,FR,764875,64000.0,4200.0,True,"['seb la frite', 'seb', 'ce mec', 'seblafrite', 'sebastien frit', 'histoire', 'incroyable', 'mystère', 'musique', 'documentaire', 'Tecktonik', 'danse electro', 'metropolis', 'rungis', 'teck tonik', 'story', 'France']",1,2023-12-19 01:03:55.763489024+00:00,114837.763489024,True
25,25,lTmJJ3AGizk,2023-12-19 01:03:55.763489024+00:00,2023-12-17 12:00:30+00:00,106000,23,1456,Now,Gaming,FR,96350,4500.0,267.0,False,"['jeux vidéo', 'gaming', 'clip', 'twitch', 'twitchfr', 'montage', 'best of', 'shorts', 'tiktok', 'humour', 'drole', 'wii sports', 'wii sports resort', 'matt', 'wii']",1,2023-12-19 01:03:55.763489024+00:00,133405.763489024,True
26,26,SG065LnQ08Q,2023-12-19 01:03:55.763489024+00:00,2023-12-16 18:02:38+00:00,688000,24,1941,Now,Entertainment,FR,193764,14000.0,199.0,True,"['billy', 'rebeudeter', 'jeu', 'jeux', 'horreur', 'fears', 'to', 'fantom', 'fathom', 'live', 'twitch', 'rediff', 'rediffusion', 'react']",1,2023-12-19 01:03:55.763489024+00:00,198077.763489024,True
27,27,WG4FIkH6HU8,2023-12-19 01:03:55.763489024+00:00,2023-12-17 17:00:10+00:00,412000,25,690,Now,Entertainment,FR,69402,4300.0,99.0,True,"['Ski', 'Freeride', 'extreme', 'Bimboes', 'Mickael', 'mickael bimboes', 'Freeride world tour', 'winteractivity', 'winter activity', 'winter', 'brutisode', 'snowboard', 'vtt', 'parapente', 'montagne', 'prank', 'scandale', 'backflip', 'freestyle', 'équipe', 'skiing', 'neige', 'film', 'avalanche', 'vlog', 'antagonist', 'gopro', 'dji', 'world', 'mtb', 'downhill', 'tricks', 'trick', 'fail', 'fails', 'best', 'chamonix', 'audi', 'yeah']",1,2023-12-19 01:03:55.763489024+00:00,115425.763489024,True
28,28,DmdcktG7vXM,2023-12-19 01:03:55.763489024+00:00,2023-12-17 18:49:02+00:00,58500,26,167,Now,Music,FR,30864,4600.0,3200.0,False,,1,2023-12-19 01:03:55.763489024+00:00,108893.763489024,True
29,29,6X1Ko_TExuM,2023-12-19 01:03:55.763489024+00:00,2023-12-16 11:45:00+00:00,34800,27,810,Now,Entertainment,FR,300241,5700.0,272.0,False,,1,2023-12-19 01:03:55.763489024+00:00,220735.763489024,True
30,30,gRb87CBRZ2o,2023-12-19 01:03:55.763489024+00:00,2023-12-17 11:00:27+00:00,319000,28,1592,Now,Film & Animation,FR,57262,4500.0,352.0,True,"['Cinéma', 'Durendal', 'Film', 'Vlog', 'Critique', 'Super Mario Bros', 'The Movie', 'Le Film', 'Aaron Horvath', 'Michael Jelenic', 'Chris Pratt', 'Anya Taylor-Joy', 'Jack Black', 'Seth Rogen', 'Jeu Vidéo', 'Aventure', 'Action']",1,2023-12-19 01:03:55.763489024+00:00,137008.763489024,True
31,31,spmAWUn0k40,2023-12-19 01:03:55.763489024+00:00,2023-12-17 17:52:44+00:00,707000,29,859,Now,Sports,FR,85447,1500.0,76.0,True,"['champions cup', 'harlequins', 'rugby', 'sport', 'stade toulousain']",1,2023-12-19 01:03:55.763489024+00:00,112271.763489024,True
32,32,P0rMYaKFO7k,2023-12-19 01:03:55.763489024+00:00,2023-12-17 16:00:01+00:00,253000,30,659,Now,Film & Animation,FR,57062,8300.0,529.0,True,"['Neuxs 6', 'Neuxs VI', 'Nexus 6', 'Science-Fiction', 'France', 'Metz', 'Blida', 'Fensch Toast', 'Science Fiction', 'Arnold Schwarzenegger', 'Linda Hamilton', 'Kyle Reese', 'T1000']",1,2023-12-19 01:03:55.763489024+00:00,119034.763489024,True
33,33,6oLB9vDNvI0,2023-12-19 01:03:55.763489024+00:00,2023-12-15 17:47:00+00:00,2100000,31,394,Now,Entertainment,FR,697740,17000.0,616.0,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",1,2023-12-19 01:03:55.763489024+00:00,285415.763489024,True
34,34,jply2m0IoYs,2023-12-19 01:03:55.763489024+00:00,2023-12-17 09:26:50+00:00,235000,32,104,Now,News & Politics,FR,130253,260.0,597.0,True,"['TF1', 'beauté', 'concours', 'feminism washing', 'france', 'féminisme', 'justice', 'miss', 'miss nord-pas-de-calais', 'média', 'police', 'sexisme', 'télévision', 'Ève Gilles']",1,2023-12-19 01:03:55.763489024+00:00,142625.763489024,True
35,35,-3Xvyo_-Pyg,2023-12-19 01:03:55.763489024+00:00,2023-12-17 11:26:56+00:00,605000,33,1494,Now,Entertainment,FR,39079,3200.0,82.0,False,,1,2023-12-19 01:03:55.763489024+00:00,135419.763489024,True
36,36,icGwtYWesWw,2023-12-19 01:03:55.763489024+00:00,2023-12-17 22:19:35+00:00,2040000,34,596,Now,Sports,FR,394391,8200.0,309.0,True,"['résumé', 'highlights', 'real', 'de', 'madrid', 'villarreal', 'jude', 'bellingham', 'brahim', 'diaz', 'rodrygo', 'vini', 'vinicius', 'junior', 'jr', 'endrick', 'luka', 'modric', 'la', 'liga', 'foot', 'football', 'club', 'fc']",1,2023-12-19 01:03:55.763489024+00:00,96260.763489024,True
37,37,k51hM1cEgcs,2023-12-19 01:03:55.763489024+00:00,2023-12-17 18:00:21+00:00,1030000,35,764,Now,Science & Technology,FR,72983,3000.0,123.0,True,,1,2023-12-19 01:03:55.763489024+00:00,111814.763489024,True
38,38,Mz-J5JPxxBI,2023-12-19 01:03:55.763489024+00:00,2023-12-17 10:59:33+00:00,136000,36,888,Now,Music,FR,62839,4700.0,201.0,True,"['Beendo z', 'Retour à l’école', 'École', 'Élèves', 'Rap', 'Raplume', 'Interview', 'Interview Beendo Z', 'Au tableau']",1,2023-12-19 01:03:55.763489024+00:00,137062.763489024,True
39,39,JGP98IDCrTc,2023-12-19 01:03:55.763489024+00:00,2023-12-17 16:14:52+00:00,312000,37,784,Now,Science & Technology,FR,57671,6300.0,291.0,True,"['pixmob', 'coldplay', 'the weeknd', 'taylor swift', 'imagine dragons', 'lady gaga', 'bad bunny', 'elton john', 'wristband', 'infrarouge', 'menu', 'ecologique', 'concert', 'spectacle']",1,2023-12-19 01:03:55.763489024+00:00,118143.763489024,True
40,40,RrasC4E_1R8,2023-12-19 01:03:55.763489024+00:00,2023-12-17 11:00:31+00:00,1130000,38,1048,Now,Entertainment,FR,103608,4600.0,257.0,True,,1,2023-12-19 01:03:55.763489024+00:00,137004.763489024,True
41,41,bOppj5rT2xA,2023-12-19 01:03:55.763489024+00:00,2023-12-17 16:30:06+00:00,436000,39,673,Now,Entertainment,FR,39014,3400.0,44.0,True,"['FR', 'AlphaCast', 'Gameplay', 'Alfacast', 'France', 'Lynkus', 'Live', 'Twitch', 'Meilleurs moments', 'Best of', '35', 'Tablequest', 'Jeu vidéo', 'gameplay', 'drôle', 'blagues', 'rire', 'clips', 'Stream', 'Streaming', 'Alpha', 'Alfa', 'M4F', 'Ted', 'Eventis', 'Troma', 'Ted Etienne', 'AVAMIND', 'AVA', 'Gom4rt', 'Antoine Daniel', 'JDG', 'Mynthos', 'Joueur du Grenier', 'Dead Space', 'Grounded', 'Warhammer']",1,2023-12-19 01:03:55.763489024+00:00,117229.763489024,True
42,42,OBgUnwkPivg,2023-12-19 01:03:55.763489024+00:00,2023-12-15 17:22:32+00:00,1950000,40,509,Now,People & Blogs,FR,862882,5800.0,657.0,False,"['guy marchand', 'hommage', 'patrick sébastien']",1,2023-12-19 01:03:55.763489024+00:00,286883.763489024,True
43,43,BYKz4ksSFFc,2023-12-19 01:03:55.763489024+00:00,2023-12-17 11:00:12+00:00,116000,41,157,Now,Music,FR,51606,3500.0,130.0,False,"['rsko chanel bag parole', 'rsko chanel bag']",1,2023-12-19 01:03:55.763489024+00:00,137023.763489024,True
44,44,mWacdcatC9o,2023-12-19 01:03:55.763489024+00:00,2023-12-17 06:35:44+00:00,1400000,42,52,Now,Film & Animation,FR,2879283,210000.0,10000.0,False,,1,2023-12-19 01:03:55.763489024+00:00,152891.763489024,True
45,45,HCJ2WHNpQqc,2023-12-19 01:03:55.763489024+00:00,2023-12-15 11:00:17+00:00,1200000,43,171,Now,Music,FR,508182,33000.0,935.0,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",1,2023-12-19 01:03:55.763489024+00:00,309818.763489024,True
46,46,BOQ1FdoBBmI,2023-12-19 01:03:55.763489024+00:00,2023-12-16 08:59:24+00:00,850000,44,719,Now,Film & Animation,FR,248890,30000.0,1100.0,True,"['théorie', 'Chronik Fiction', 'Fabio Soares', 'Mike Zonnenberg', 'cinéma', 'web-série', 'série digitale', 'analyse', 'critique', 'film', 'chronique', 'berlin', 'lacasadepapel', 'netflix', 'berlin trailer', 'berlin bande annonce vf', 'berlin bande annonce fr']",1,2023-12-19 01:03:55.763489024+00:00,230671.763489024,True
47,47,sRtFQf5wQ-U,2023-12-19 01:03:55.763489024+00:00,2023-12-17 23:21:13+00:00,395000,45,283,Now,People & Blogs,FR,146050,2200.0,288.0,True,"['2023/24', 'football', 'futebol', 'goals', 'golos', 'highlights', 'liga portugal', 'liga portugal betclic', 'liga portuguesa', 'portugal', 'portuguese league', 'primeira liga', 'resumo', 'season 23/24', 'soccer', 'sp:dt=2023-12-17T20:30:00Z', 'sp:li=port', 'sp:st=soccer', 'sp:ti:away=SLB', 'sp:ti:home=SCB', 'sp:ty=high']",1,2023-12-19 01:03:55.763489024+00:00,92562.763489024,True
48,48,5VojZY6p798,2023-12-19 01:03:55.763489024+00:00,2023-12-17 14:49:09+00:00,916000,46,546,Now,Science & Technology,FR,62282,5000.0,343.0,True,"['TheiCollection', 'Studio TheiCollection', 'Setup TheiCollection', 'Apple', 'Tech', 'Roche Bobois', 'Polygonia Roche Bobois', 'Furtif Roche Bobois', 'Bureau Roche Bobois', 'Setup highTech', 'HighTech', 'Technologie', 'JB', 'Jojol', 'Gentil', 'Garçon', 'Astuces tournage', 'astuces', 'setup astuce', 'setup caméra', 'setup tech', 'studio tech', 'The Frame', 'Philips hue', 'Astuces Philips Hue']",1,2023-12-19 01:03:55.763489024+00:00,123286.763489024,True
49,49,qj9REJK5K3w,2023-12-19 01:03:55.763489024+00:00,2023-12-17 19:53:37+00:00,2040000,47,835,Now,Sports,FR,199079,3000.0,229.0,True,"['coupe', 'du', 'monde', 'championnat', 'championnats', 'mondial', 'hand', 'handball', 'equipe', 'de', 'france', 'bleu', 'bleus', 'bleue', 'bleues', 'norvege', 'norway']",1,2023-12-19 01:03:55.763489024+00:00,105018.763489024,True
50,50,5jrMwhmYW1A,2023-12-19 01:03:55.763489024+00:00,2023-12-14 15:56:41+00:00,158000,0,151,Recently Trending,Comedy,FR,925970,43000.0,1900.0,False,"['malik bentalha', 'encore', 'titanic', 'jamel comedy club', 'marrakech du rire', 'rendez-vous en terre inconnue', 'sketch', 'nouveau', 'spectacle', 'stand-up', 'entier', 'colors', 'jul', 'becan', 'show', 'sch', 'freeze corleone', 'haaarp', 'francais', 'fr', 'niska', 'tv', 'angele', 'kalash', 'chalgoumi', 'praud', 'cnews', ""l'heure de trop"", 'nouveau monde', 'pascal praud', ""l'heure des pros"", 'debat', 'islam', 'parodie', 'israel', 'palestine', 'djellaba', 'islamique', 'vetement', 'lastella', 'zemmour', 'comedy', 'comedie', 'humour', 'rap', 'freestyle', 'booska p', 'interview', 'fougasse', 'streaming', 'react', 'reaction', 'avis']",1,2023-12-19 01:03:55.763489024+00:00,378434.763489024,True
51,51,QdBZY2fkU-0,2023-12-19 01:03:55.763489024+00:00,2023-12-04 23:07:10+00:00,10300000,1,90,Recently Trending,Gaming,FR,153096837,10000000.0,832000.0,True,"['Rockstar Games', 'Grand Theft Auto VI', 'GTAVI', 'GTA 6', 'GTA Six', 'Grand Theft Auto', 'GTA', 'Vice City', 'Leonida']",1,2023-12-19 01:03:55.763489024+00:00,1216605.763489024,True
52,52,9RhWXPcKBI8,2023-12-19 01:03:55.763489024+00:00,2023-12-16 17:00:01+00:00,219000000,2,1627,Recently Trending,Entertainment,FR,62941741,3000000.0,50000.0,True,,1,2023-12-19 01:03:55.763489024+00:00,201834.763489024,True
53,53,LnW-DwBrWLk,2023-12-19 01:03:55.763489024+00:00,2023-12-17 15:59:59+00:00,4000000,3,827,Recently Trending,Comedy,FR,492965,39000.0,563.0,True,,1,2023-12-19 01:03:55.763489024+00:00,119036.763489024,True
54,54,9gAADPMt1FU,2023-12-19 01:03:55.763489024+00:00,2023-12-17 18:28:05+00:00,724000,4,1056,Recently Trending,Comedy,FR,325905,57000.0,1200.0,True,,1,2023-12-19 01:03:55.763489024+00:00,110150.763489024,True
55,55,K4GQRiuNpP0,2023-12-19 01:03:55.763489024+00:00,2023-12-17 16:00:33+00:00,1990000,5,2773,Recently Trending,Howto & Style,FR,301552,12000.0,438.0,False,,1,2023-12-19 01:03:55.763489024+00:00,119002.763489024,True
56,56,6oLB9vDNvI0,2023-12-19 01:03:55.763489024+00:00,2023-12-15 17:47:00+00:00,2100000,6,394,Recently Trending,Entertainment,FR,697740,17000.0,616.0,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",1,2023-12-19 01:03:55.763489024+00:00,285415.763489024,True
57,57,HCJ2WHNpQqc,2023-12-19 01:03:55.763489024+00:00,2023-12-15 11:00:17+00:00,1200000,7,171,Recently Trending,Music,FR,508182,33000.0,935.0,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",1,2023-12-19 01:03:55.763489024+00:00,309818.763489024,True
58,58,pFpjyAp8aJ0,2023-12-19 01:03:55.763489024+00:00,2023-12-13 11:00:46+00:00,706000,8,7828,Recently Trending,Entertainment,FR,527161,19000.0,374.0,True,['Zack Nani'],1,2023-12-19 01:03:55.763489024+00:00,482589.763489024,True
59,59,zePFAZMUnbU,2023-12-19 01:03:55.763489024+00:00,2023-12-08 17:18:08+00:00,4910000,9,2314,Recently Trending,Howto & Style,FR,2224840,76000.0,816.0,True,"['Fastgoodcuisine', 'Fastgood', 'Fastfood', 'Qui est', 'Qui est l’imposteur', 'l’imposteur', 'Plat piégé', 'Piégé', 'Qui est le menteur', 'Le menteur', ""qui est l'imposteur"", 'Qui Aura Le Plat Piégé ?', ""qui aura l'objet piégé"", 'challenge', 'Qui est l’imposteur ?', 'inox', 'inoxtag', 'inoxtag imposteur', 'inoxtag fastgoodcuisine', 'fastgoodcuisine inoxtag', 'fastgoodcuisine inox', 'gurky', 'gurky fast food', 'gurky fastgoodcuisine', 'tacos piégé', 'fastfood piégé', 'gurky le murky']",1,2023-12-19 01:03:55.763489024+00:00,891947.763489024,True
60,60,dh8XxY717Gw,2023-12-19 01:03:55.763489024+00:00,2023-12-07 17:15:03+00:00,2500000,10,1740,Recently Trending,Autos & Vehicles,FR,3197221,324000.0,32000.0,True,"['vilebrequin', 'voiture', 'automobile', 'essai', 'test', 'vultech', 'vilbrequin', 'multipla', 'xantia', 'mécanique', ""dos d'âne"", 'dodane', 'dodane 130', 'dos dane 130', ""vilebrequin dos d'ane"", ""vilebrequin dos d'âne"", ""dos d'ane 170"", 'vilebrequin bus', 'drift', 'drole', 'fun', 'squeezie', 'amixem', 'joyca', '1000tipla', 'vilebrequin bourré', ""dos d'âne 170"", '1ÈRE 130', 'top gear', 'crash', 'accident', 'jump', 'drift bus', 'dodane 170', 'mcfly', 'fin vilebrequin', 'vilebrequin fini', 'arret vilebrequin', 'vilebrequin drama', 'vilebrequin fin', 'dernière video']",1,2023-12-19 01:03:55.763489024+00:00,978532.763489024,True
61,61,OBgUnwkPivg,2023-12-19 01:03:55.763489024+00:00,2023-12-15 17:22:32+00:00,1950000,11,509,Recently Trending,People & Blogs,FR,862882,5800.0,657.0,False,"['guy marchand', 'hommage', 'patrick sébastien']",1,2023-12-19 01:03:55.763489024+00:00,286883.763489024,True
62,62,WB9wpwPVzyY,2023-12-19 01:03:55.763489024+00:00,2023-12-08 17:00:37+00:00,6840000,12,229,Recently Trending,Music,FR,7509424,138000.0,1100.0,True,"['JuL', 'Alonzo', 'La fusion', 'Clip Officiel', 'La Route Est Longue', 'LREL']",1,2023-12-19 01:03:55.763489024+00:00,892998.763489024,True
