,videoId,scanTimestamp,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,Epoch
0,bfmUsDJjBkU,1702951718.4469686,2023-12-17T02:02:00-08:00,5.79M subscribers,0,4585,Now,Comedy,FR,"2,509,561 views",183K,3.1K,True,"['Mastu', 'Mastus', 'Humour', 'Matsu', 'loat', 'mastu enfer', 'mastu michou', 'michou', 'mastu zafeel', 'zafeel', 'hctuan', 'mchou enfer']",2
1,9gAADPMt1FU,1702951718.4469686,2023-12-17T10:28:05-08:00,724K subscribers,1,1056,Now,Comedy,FR,"333,432 views",58K,1.3K,True,,2
2,LnW-DwBrWLk,1702951718.4469686,2023-12-17T07:59:59-08:00,4M subscribers,0,827,Now,Comedy,FR,"497,156 views",40K,565,True,,2
3,K4GQRiuNpP0,1702951718.4469686,2023-12-17T08:00:33-08:00,1.99M subscribers,1,2773,Now,Howto & Style,FR,"305,351 views",13K,440,False,,2
4,9RhWXPcKBI8,1702951718.4469686,2023-12-16T09:00:01-08:00,219M subscribers,2,1627,Now,Entertainment,FR,"63,350,490 views",3M,50K,True,,2
5,aZOiDNzoeWQ,1702951718.4469686,2023-12-17T02:17:24-08:00,9.19M subscribers,3,1679,Now,Entertainment,FR,"983,549 views",63K,1.7K,True,"['michou', 'roue', 'tournes', 'souffres', 'vidéo', 'Tu']",2
6,M9p7xS8nKFg,1702951718.4469686,2023-12-17T14:05:56-08:00,985K subscribers,4,11341,Now,Sports,FR,"229,714 views",11K,166,True,"['foot', 'football', 'streaming', 'direct', 'match', 'sowdred', 'ligue 1', 'paris saint germain', 'paris sg', 'paris', 'psg', 'lille osc', 'lille', 'losc', 'psg lille', 'psg vs lille', 'lille psg', 'lille vs psg', 'lille paris', 'lille vs paris', 'lille paris sg', 'lille vs paris sg', 'losc psg', 'losc vs psg', 'losc paris', 'losc vs paris', 'match en direct', 'matche en direct', 'match en direct aujourd-hui', 'lille psg live', 'losc psg live', 'lille paris live', 'psg lille live', 'psg live', 'messi', 'amazon prime live', 'amazon prime', 'psg match', 'leo']",2
7,FuNLTys8xtQ,1702951718.4469686,2023-12-17T07:41:08-08:00,2.51M subscribers,5,390,Now,Comedy,FR,"307,434 views",38K,619,True,"['kevin tran', 'kevin tran 陈科伟', 'rire jaune', 'le rire jaune', 'show jaune', 'le show jaune', 'kevin tran empereur', 'henry tran', 'cuisine', 'après mes toilettes', 'après mes toilettes ma cuisine', 'kevin tran cuisine', 'présentation de ma cuisine', 'cuisine tour', 'kitchen tour']",2
8,vvnlLGFv2mI,1702951718.4469686,2023-12-17T03:00:45-08:00,1.54M subscribers,6,2208,Now,Autos & Vehicles,FR,"595,933 views",43K,1.2K,True,,2
9,4R7vRFGJr3k,1702951718.4469686,2023-12-17T06:59:58-08:00,28.4M subscribers,7,191,Now,Music,FR,"4,103,900 views",460K,44K,True,"['JYP Entertainment', 'JYP', 'ITZY', '있지', 'イッチ', '예지', '리아', '류진', '채령', '유나', 'YEJI', 'LIA', 'RYUJIN', 'CHAERYEONG', 'YUNA', 'イェジ', 'リア', 'リュジン', 'チェリョン', 'ユナ', 'อิทจี', 'เยจี', 'ลีอา', 'รยูจิน', 'แชรยอง', 'ยูนา', 'ITZY VIDEOS', 'ITZY BEHIND', 'MV', 'ITZY MV', 'ITZY MUSIC VIDEOS', 'Teaser', 'ITZY Teaser', 'ITZY VLOG', 'VLOG', ""IT'z Different"", ""IT'z ICY"", ""IT'z ME"", 'Not Shy', 'GUESS WHO', 'CRAZY IN LOVE', 'DALLA DALLA', 'ICY', 'WANNABE', '마.피.아.IN THE MORNING', 'LOCO', 'ITZY?ITZY!', 'ITZY CHECKMATE', 'CHECKMATE', 'ITZY COMEBACK', 'SNEAKERS', 'Boys Like You', 'CHESHIRE', 'KILL MY DOUBT', 'CAKE', 'BORN TO BE']",2
10,Ap7qPHeZcgM,1702951718.4469686,2023-12-16T23:18:06-08:00,1.38M subscribers,8,481,Now,Entertainment,FR,"327,909 views",5K,354,False,"['colby covington', 'donald trump', 'droitufc', 'leon edwards', 'mma', 'sports de combat', 'ufc']",2
11,6f1Bg-fqBRg,1702951718.4469686,2023-12-17T02:00:12-08:00,367K subscribers,9,2566,Now,Entertainment,FR,"126,347 views",11K,436,True,"['one piece', 'one piece théorie', 'one piece theory', 'one', 'piece', 'theorie', 'one piece 1088', 'one piece chapitre', 'one piece spoil', 'Luffy', 'Nika', 'Gomu gomu no mi', 'hito hito no mi model nika', 'Joyboy', 'Haki', 'devil fruit', ""L'HISTOIRE DE LUFFY ET LA FIN DE ONE PIECE EXPLIQUÉE !"", 'Barbe Noire', 'Marshall D. teach', 'Teach vs Luffy', 'la disparition du gomu gomu no mi', 'Haki des rois', 'Luffy éveil', 'One Piece 1102', 'one piece review', 'Goji', 'anime', 'manga', 'Oda', 'iceberg one piece']",2
12,tfht2Piljo8,1702951718.4469686,2023-12-17T04:07:22-08:00,492K subscribers,10,334,Now,Entertainment,FR,"375,249 views",2.8K,1.5K,True,,2
13,pIqARNahjJw,1702951718.4469686,2023-12-17T10:00:30-08:00,564K subscribers,11,545,Now,Science & Technology,FR,"129,476 views",15K,486,True,"['iphone', 'apple', 'imessage', 'rcs', 'bulle bleue', 'bulle verte', 'léo duff', 'beeper', 'android', 'ios']",2
14,usTqmg0xNZY,1702951718.4469686,2023-12-15T08:22:26-08:00,7.24M subscribers,12,2246,Now,Entertainment,FR,"1,855,706 views",170K,4.6K,True,"['mcfly', 'carlito', 'golden moustache', 'fatshow', 'badass', 'dab', ""j'effectue"", 'le', 'et', 'on', 'appelle', 'des', 'gens', 'au', 'hasard']",2
15,n4hyVsz7FMA,1702951718.4469686,2023-12-17T01:00:27-08:00,2.43M subscribers,13,2988,Now,Entertainment,FR,"113,460 views",10K,328,True,"['horia', 'youtubeuse', 'true crime', 'thread horreur', 'Horia horreur', 'horroria', 'histoire horreur', 'la sombre histoire de', 'sombre histoire Horia', 'Lady Diana', 'la sombre histoire de lady diana', 'sombre histoire lady diana', 'lady diana reportage', 'lady diana documentaire', 'famille royale', 'prince charles', 'reine elisabeth', 'aromazone', 'skincare', 'mystère', 'étrange', 'lady diana mystère', 'histoire de lady diana', 'lady di', 'princesse diana', 'théories', 'lady diana théories', 'affaire', 'histoire lady di']",2
16,ziq9BzdRvwY,1702951718.4469686,2023-12-17T10:00:28-08:00,146K subscribers,14,3163,Now,Entertainment,FR,"139,576 views",6.8K,172,True,,2
17,SwlRSu0jjyU,1702951718.4469686,2023-12-17T08:25:00-08:00,8.33M subscribers,15,985,Now,Comedy,FR,"1,608,675 views",119K,1.2K,True,"['amixem', 'humour', 'delire']",2
18,FrTfxDY2eyI,1702951718.4469686,2023-12-17T08:23:46-08:00,315K subscribers,16,621,Now,Comedy,FR,"94,899 views",13K,363,True,,2
19,W_l0npDNILY,1702951718.4469686,2023-12-17T05:00:31-08:00,2.56M subscribers,17,966,Now,Gaming,FR,"551,471 views",42K,390,True,"['terracid', 'laink', 'wankil', 'lego', 'fortnite', 'minecraft', 'build', 'construction']",2
20,NGfpot1_2Is,1702951718.4469686,2023-12-17T03:00:12-08:00,548K subscribers,18,2023,Now,Howto & Style,FR,"99,050 views",9K,378,True,"['honeyshay', 'honey shay', 'Chaiyna', 'comores', 'lifestyle', 'beauté', 'vlog', 'famille', 'family game', 'habitue toi', 'Family', 'Family Games', 'Océane', 'Yoan', 'Yo4real']",2
21,TOIAdoDwYYs,1702951718.4469686,2023-12-17T01:30:05-08:00,230K subscribers,19,1207,Now,Gaming,FR,"94,489 views",8.4K,245,True,"['pokemon random', 'choisi ton starter', 'choisi ton pokemon', 'challenge pokemon', 'randomizer pokemon violet', 'randomizer pokemon ecarlate']",2
22,uKpgHMkjF_8,1702951718.4469686,2023-12-17T08:30:12-08:00,92.1K subscribers,20,1445,Now,Film & Animation,FR,"55,315 views",5.4K,337,False,"['film', 'films', 'chronique', 'cinema', 'saga', 'humour', 'analyse', 'box office', 'critique', 'resume', 'la suite de trop', 'video', 'youtube', 'critique cinema', 'critique de film', 'Cinéphile', 'Noel', 'Christmas', 'Aladdin', 'Le Roi Lion', 'La Belle et le Bete', 'Pocahontas', 'Disney', 'Le Retour de Jafar', 'Karime Debbache', 'Crossed', 'Chroma', 'Guillaume Cassar', 'Notserious', 'la petite sirene', 'mickey', 'La petite sirene 2', 'La Belle et le Clochard', 'La Belle et le Clochard 2', 'Le Bossu de Notre Dame', 'Cendrillon', 'PeterPan', 'Les 101 Dalmatiens', 'Cruella', 'Tarzan']",2
23,LY0Ll7LRYDI,1702951718.4469686,2023-12-17T09:09:58-08:00,5.43M subscribers,21,953,Now,Entertainment,FR,"769,823 views",64K,4.2K,True,"['seb la frite', 'seb', 'ce mec', 'seblafrite', 'sebastien frit', 'histoire', 'incroyable', 'mystère', 'musique', 'documentaire', 'Tecktonik', 'danse electro', 'metropolis', 'rungis', 'teck tonik', 'story', 'France']",2
24,lTmJJ3AGizk,1702951718.4469686,2023-12-17T04:00:30-08:00,106K subscribers,22,1456,Now,Gaming,FR,"96,686 views",4.5K,267,False,"['jeux vidéo', 'gaming', 'clip', 'twitch', 'twitchfr', 'montage', 'best of', 'shorts', 'tiktok', 'humour', 'drole', 'wii sports', 'wii sports resort', 'matt', 'wii']",2
25,igsQae0v0HQ,1702951718.4469686,2023-12-17T09:00:27-08:00,618K subscribers,23,1342,Now,Howto & Style,FR,"178,407 views",12K,105,True,['mayadorable'],2
26,WG4FIkH6HU8,1702951718.4469686,2023-12-17T09:00:10-08:00,412K subscribers,24,690,Now,Entertainment,FR,"69,665 views",4.3K,99,True,"['Ski', 'Freeride', 'extreme', 'Bimboes', 'Mickael', 'mickael bimboes', 'Freeride world tour', 'winteractivity', 'winter activity', 'winter', 'brutisode', 'snowboard', 'vtt', 'parapente', 'montagne', 'prank', 'scandale', 'backflip', 'freestyle', 'équipe', 'skiing', 'neige', 'film', 'avalanche', 'vlog', 'antagonist', 'gopro', 'dji', 'world', 'mtb', 'downhill', 'tricks', 'trick', 'fail', 'fails', 'best', 'chamonix', 'audi', 'yeah']",2
27,SG065LnQ08Q,1702951718.4469686,2023-12-16T10:02:38-08:00,688K subscribers,25,1941,Now,Entertainment,FR,"194,644 views",14K,200,True,"['billy', 'rebeudeter', 'jeu', 'jeux', 'horreur', 'fears', 'to', 'fantom', 'fathom', 'live', 'twitch', 'rediff', 'rediffusion', 'react']",2
28,DmdcktG7vXM,1702951718.4469686,2023-12-17T10:49:02-08:00,58.5K subscribers,26,167,Now,Music,FR,"31,071 views",4.6K,3.2K,False,,2
29,6X1Ko_TExuM,1702951718.4469686,2023-12-16T03:45:00-08:00,34.8K subscribers,27,810,Now,Entertainment,FR,"300,538 views",5.7K,272,False,,2
30,gRb87CBRZ2o,1702951718.4469686,2023-12-17T03:00:27-08:00,319K subscribers,28,1592,Now,Film & Animation,FR,"57,528 views",4.5K,353,True,"['Cinéma', 'Durendal', 'Film', 'Vlog', 'Critique', 'Super Mario Bros', 'The Movie', 'Le Film', 'Aaron Horvath', 'Michael Jelenic', 'Chris Pratt', 'Anya Taylor-Joy', 'Jack Black', 'Seth Rogen', 'Jeu Vidéo', 'Aventure', 'Action']",2
31,P0rMYaKFO7k,1702951718.4469686,2023-12-17T08:00:01-08:00,253K subscribers,29,659,Now,Film & Animation,FR,"57,403 views",8.3K,534,True,"['Neuxs 6', 'Neuxs VI', 'Nexus 6', 'Science-Fiction', 'France', 'Metz', 'Blida', 'Fensch Toast', 'Science Fiction', 'Arnold Schwarzenegger', 'Linda Hamilton', 'Kyle Reese', 'T1000']",2
32,spmAWUn0k40,1702951718.4469686,2023-12-17T09:52:44-08:00,707K subscribers,30,859,Now,Sports,FR,"85,806 views",1.5K,76,True,"['champions cup', 'harlequins', 'rugby', 'sport', 'stade toulousain']",2
33,6oLB9vDNvI0,1702951718.4469686,2023-12-15T09:47:00-08:00,2.1M subscribers,31,394,Now,Entertainment,FR,"700,089 views",17K,616,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",2
34,jply2m0IoYs,1702951718.4469686,2023-12-17T01:26:50-08:00,235K subscribers,32,104,Now,News & Politics,FR,"130,514 views",260,597,True,"['TF1', 'beauté', 'concours', 'feminism washing', 'france', 'féminisme', 'justice', 'miss', 'miss nord-pas-de-calais', 'média', 'police', 'sexisme', 'télévision', 'Ève Gilles']",2
35,icGwtYWesWw,1702951718.4469686,2023-12-17T14:19:35-08:00,2.04M subscribers,33,596,Now,Sports,FR,"397,081 views",8.2K,309,True,"['résumé', 'highlights', 'real', 'de', 'madrid', 'villarreal', 'jude', 'bellingham', 'brahim', 'diaz', 'rodrygo', 'vini', 'vinicius', 'junior', 'jr', 'endrick', 'luka', 'modric', 'la', 'liga', 'foot', 'football', 'club', 'fc']",2
36,k51hM1cEgcs,1702951718.4469686,2023-12-17T10:00:21-08:00,1.03M subscribers,34,764,Now,Science & Technology,FR,"73,753 views",3.1K,123,True,,2
37,-3Xvyo_-Pyg,1702951718.4469686,2023-12-17T03:26:56-08:00,605K subscribers,35,1494,Now,Entertainment,FR,"39,309 views",3.2K,83,False,,2
38,JGP98IDCrTc,1702951718.4469686,2023-12-17T08:14:52-08:00,312K subscribers,36,784,Now,Science & Technology,FR,"57,983 views",6.4K,292,True,"['pixmob', 'coldplay', 'the weeknd', 'taylor swift', 'imagine dragons', 'lady gaga', 'bad bunny', 'elton john', 'wristband', 'infrarouge', 'menu', 'ecologique', 'concert', 'spectacle']",2
39,Mz-J5JPxxBI,1702951718.4469686,2023-12-17T02:59:33-08:00,136K subscribers,37,888,Now,Music,FR,"63,282 views",4.8K,202,True,"['Beendo z', 'Retour à l’école', 'École', 'Élèves', 'Rap', 'Raplume', 'Interview', 'Interview Beendo Z', 'Au tableau']",2
40,RrasC4E_1R8,1702951718.4469686,2023-12-17T03:00:31-08:00,1.13M subscribers,38,1048,Now,Entertainment,FR,"104,436 views",4.6K,258,True,,2
41,bOppj5rT2xA,1702951718.4469686,2023-12-17T08:30:06-08:00,436K subscribers,39,673,Now,Entertainment,FR,"39,233 views",3.4K,44,True,"['FR', 'AlphaCast', 'Gameplay', 'Alfacast', 'France', 'Lynkus', 'Live', 'Twitch', 'Meilleurs moments', 'Best of', '35', 'Tablequest', 'Jeu vidéo', 'gameplay', 'drôle', 'blagues', 'rire', 'clips', 'Stream', 'Streaming', 'Alpha', 'Alfa', 'M4F', 'Ted', 'Eventis', 'Troma', 'Ted Etienne', 'AVAMIND', 'AVA', 'Gom4rt', 'Antoine Daniel', 'JDG', 'Mynthos', 'Joueur du Grenier', 'Dead Space', 'Grounded', 'Warhammer']",2
42,OBgUnwkPivg,1702951718.4469686,2023-12-15T09:22:32-08:00,1.95M subscribers,40,509,Now,People & Blogs,FR,"863,613 views",5.8K,657,False,"['guy marchand', 'hommage', 'patrick sébastien']",2
43,mWacdcatC9o,1702951718.4469686,2023-12-16T22:35:44-08:00,1.4M subscribers,41,52,Now,Film & Animation,FR,"2,890,481 views",211K,10K,False,,2
44,BYKz4ksSFFc,1702951718.4469686,2023-12-17T03:00:12-08:00,116K subscribers,42,157,Now,Music,FR,"53,527 views",3.5K,131,False,"['rsko chanel bag parole', 'rsko chanel bag']",2
45,HCJ2WHNpQqc,1702951718.4469686,2023-12-15T03:00:17-08:00,1.2M subscribers,43,171,Now,Music,FR,"509,556 views",33K,935,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",2
46,BOQ1FdoBBmI,1702951718.4469686,2023-12-16T00:59:24-08:00,850K subscribers,44,719,Now,Film & Animation,FR,"249,690 views",30K,1.1K,True,"['théorie', 'Chronik Fiction', 'Fabio Soares', 'Mike Zonnenberg', 'cinéma', 'web-série', 'série digitale', 'analyse', 'critique', 'film', 'chronique', 'berlin', 'lacasadepapel', 'netflix', 'berlin trailer', 'berlin bande annonce vf', 'berlin bande annonce fr']",2
47,sRtFQf5wQ-U,1702951718.4469686,2023-12-17T15:21:13-08:00,395K subscribers,45,283,Now,People & Blogs,FR,"147,519 views",2.2K,288,True,"['2023/24', 'football', 'futebol', 'goals', 'golos', 'highlights', 'liga portugal', 'liga portugal betclic', 'liga portuguesa', 'portugal', 'portuguese league', 'primeira liga', 'resumo', 'season 23/24', 'soccer', 'sp:dt=2023-12-17T20:30:00Z', 'sp:li=port', 'sp:st=soccer', 'sp:ti:away=SLB', 'sp:ti:home=SCB', 'sp:ty=high']",2
48,5VojZY6p798,1702951718.4469686,2023-12-17T06:49:09-08:00,916K subscribers,46,546,Now,Science & Technology,FR,"62,626 views",5K,344,True,"['TheiCollection', 'Studio TheiCollection', 'Setup TheiCollection', 'Apple', 'Tech', 'Roche Bobois', 'Polygonia Roche Bobois', 'Furtif Roche Bobois', 'Bureau Roche Bobois', 'Setup highTech', 'HighTech', 'Technologie', 'JB', 'Jojol', 'Gentil', 'Garçon', 'Astuces tournage', 'astuces', 'setup astuce', 'setup caméra', 'setup tech', 'studio tech', 'The Frame', 'Philips hue', 'Astuces Philips Hue']",2
49,qj9REJK5K3w,1702951718.4469686,2023-12-17T11:53:37-08:00,2.04M subscribers,47,835,Now,Sports,FR,"199,950 views",3K,229,True,"['coupe', 'du', 'monde', 'championnat', 'championnats', 'mondial', 'hand', 'handball', 'equipe', 'de', 'france', 'bleu', 'bleus', 'bleue', 'bleues', 'norvege', 'norway']",2
50,5jrMwhmYW1A,1702951718.4469686,2023-12-14T07:56:41-08:00,158K subscribers,0,151,Recently Trending,Comedy,FR,"928,412 views",43K,2K,False,"['malik bentalha', 'encore', 'titanic', 'jamel comedy club', 'marrakech du rire', 'rendez-vous en terre inconnue', 'sketch', 'nouveau', 'spectacle', 'stand-up', 'entier', 'colors', 'jul', 'becan', 'show', 'sch', 'freeze corleone', 'haaarp', 'francais', 'fr', 'niska', 'tv', 'angele', 'kalash', 'chalgoumi', 'praud', 'cnews', ""l'heure de trop"", 'nouveau monde', 'pascal praud', ""l'heure des pros"", 'debat', 'islam', 'parodie', 'israel', 'palestine', 'djellaba', 'islamique', 'vetement', 'lastella', 'zemmour', 'comedy', 'comedie', 'humour', 'rap', 'freestyle', 'booska p', 'interview', 'fougasse', 'streaming', 'react', 'reaction', 'avis']",2
51,QdBZY2fkU-0,1702951718.4469686,2023-12-04T15:07:10-08:00,10.3M subscribers,1,90,Recently Trending,Gaming,FR,"153,134,670 views",10M,832K,True,"['Rockstar Games', 'Grand Theft Auto VI', 'GTAVI', 'GTA 6', 'GTA Six', 'Grand Theft Auto', 'GTA', 'Vice City', 'Leonida']",2
52,LnW-DwBrWLk,1702951718.4469686,2023-12-17T07:59:59-08:00,4M subscribers,2,827,Recently Trending,Comedy,FR,"497,277 views",40K,565,True,,2
53,9gAADPMt1FU,1702951718.4469686,2023-12-17T10:28:05-08:00,724K subscribers,3,1056,Recently Trending,Comedy,FR,"333,432 views",58K,1.3K,True,,2
54,K4GQRiuNpP0,1702951718.4469686,2023-12-17T08:00:33-08:00,1.99M subscribers,4,2773,Recently Trending,Howto & Style,FR,"305,351 views",13K,440,False,,2
55,6oLB9vDNvI0,1702951718.4469686,2023-12-15T09:47:00-08:00,2.1M subscribers,5,394,Recently Trending,Entertainment,FR,"700,089 views",17K,616,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",2
56,HCJ2WHNpQqc,1702951718.4469686,2023-12-15T03:00:17-08:00,1.2M subscribers,6,171,Recently Trending,Music,FR,"509,556 views",33K,935,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",2
57,pFpjyAp8aJ0,1702951718.4469686,2023-12-13T03:00:46-08:00,706K subscribers,7,7828,Recently Trending,Entertainment,FR,"528,732 views",19K,374,True,['Zack Nani'],2
58,zePFAZMUnbU,1702951718.4469686,2023-12-08T09:18:08-08:00,4.91M subscribers,8,2314,Recently Trending,Howto & Style,FR,"2,227,752 views",76K,817,True,"['Fastgoodcuisine', 'Fastgood', 'Fastfood', 'Qui est', 'Qui est l’imposteur', 'l’imposteur', 'Plat piégé', 'Piégé', 'Qui est le menteur', 'Le menteur', ""qui est l'imposteur"", 'Qui Aura Le Plat Piégé ?', ""qui aura l'objet piégé"", 'challenge', 'Qui est l’imposteur ?', 'inox', 'inoxtag', 'inoxtag imposteur', 'inoxtag fastgoodcuisine', 'fastgoodcuisine inoxtag', 'fastgoodcuisine inox', 'gurky', 'gurky fast food', 'gurky fastgoodcuisine', 'tacos piégé', 'fastfood piégé', 'gurky le murky']",2
59,dh8XxY717Gw,1702951718.4469686,2023-12-07T09:15:03-08:00,2.5M subscribers,9,1740,Recently Trending,Autos & Vehicles,FR,"3,197,983 views",324K,32K,True,"['vilebrequin', 'voiture', 'automobile', 'essai', 'test', 'vultech', 'vilbrequin', 'multipla', 'xantia', 'mécanique', ""dos d'âne"", 'dodane', 'dodane 130', 'dos dane 130', ""vilebrequin dos d'ane"", ""vilebrequin dos d'âne"", ""dos d'ane 170"", 'vilebrequin bus', 'drift', 'drole', 'fun', 'squeezie', 'amixem', 'joyca', '1000tipla', 'vilebrequin bourré', ""dos d'âne 170"", '1ÈRE 130', 'top gear', 'crash', 'accident', 'jump', 'drift bus', 'dodane 170', 'mcfly', 'fin vilebrequin', 'vilebrequin fini', 'arret vilebrequin', 'vilebrequin drama', 'vilebrequin fin', 'dernière video']",2
60,OBgUnwkPivg,1702951718.4469686,2023-12-15T09:22:32-08:00,1.95M subscribers,10,509,Recently Trending,People & Blogs,FR,"863,613 views",5.8K,657,False,"['guy marchand', 'hommage', 'patrick sébastien']",2
61,WB9wpwPVzyY,1702951718.4469686,2023-12-08T09:00:37-08:00,6.84M subscribers,11,229,Recently Trending,Music,FR,"7,511,202 views",138K,1.1K,True,"['JuL', 'Alonzo', 'La fusion', 'Clip Officiel', 'La Route Est Longue', 'LREL']",2
62,aZOiDNzoeWQ,1702951718.4469686,2023-12-17T02:17:24-08:00,9.19M subscribers,12,1679,Recently Trending,Entertainment,FR,"983,709 views",63K,1.7K,True,"['michou', 'roue', 'tournes', 'souffres', 'vidéo', 'Tu']",2
63,oByOOqDerrM,1702951718.4469686,2023-12-15T10:00:06-08:00,1.15M subscribers,13,1800,Recently Trending,Entertainment,FR,"394,273 views",25K,327,False,,2
64,XE_IK7ouDuc,1702951718.4469686,2023-12-07T15:00:18-08:00,95.8K subscribers,14,238,Recently Trending,Music,FR,"2,812,144 views",66K,2.1K,False,"['dadju i love you', 'tayc i love you', ""et si je te dit que je t'aime"", 'dadju tayc', 'tayc dadju', 'dadju tayc album', 'tayc dadju album', 'projet commun tayc dadju', 'projet commun dadju tayc', 'tayc dadju album commun', 'dadju tayc album commun', 'tayc dadju paroles', 'dadju tayc paroles']",2
65,_Gv62FX9fFc,1702951718.4469686,2023-12-07T09:30:05-08:00,53.5K subscribers,15,2669,Recently Trending,Entertainment,FR,"1,662,684 views",51K,1K,False,"['Loris', 'giuliano', 'istanbul', 'station service', 'roman frayssinet', 'finale ldc', 'league des champions']",2
66,F8lPTlpThEo,1702951718.4469686,2023-12-08T09:01:00-08:00,1.31M subscribers,16,203,Recently Trending,Music,FR,"1,241,563 views",63K,1.5K,False,"['Zola', 'Koba', 'Koba Ła D', 'Kobalad', 'zola x koba Ła d', 'zola feat koba Ła d', 'aller sans retour', 'allersansretour', 'tiakoxgazo', 'Tiago x gazo', 'mlgx', 'La melo est gangz', 'Tiakola feat gazo', 'Zola feat koba aller sans retour', 'zola feat koba Ła d aller sans retour', 'Zola - Koba LaD', 'TruthRecords', 'BMF', 'Truth Records', 'AWA', 'AWA GANG', 'KORE', 'GAZO TIAKOLA', 'ALBUM COMMUN', 'Tiakola - Gazo', 'Gazo Tiakola']",2
67,EUtsTZK0YuY,1702951718.4469686,2023-12-15T08:00:14-08:00,627K subscribers,17,1106,Recently Trending,Entertainment,FR,"775,446 views",20K,1.2K,True,"['jai construit une piece secrete', 'jai construit une piece secrete dans ma maison de noel', 'jai construit une piece secrete maison', 'piece secrete maison', 'piece secrete maison de noel', 'piece secrete']",2
68,jclw_cAtcIg,1702951718.4469686,2023-12-15T09:00:09-08:00,226K subscribers,18,171,Recently Trending,Music,FR,"345,978 views",24K,945,False,,2
