,videoId,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,scanTimeStamp,Epoch
33,jply2m0IoYs,2023-12-17T01:26:50-08:00,235K subscribers,31,104,Now,News & Politics,FR,"130,961 views",262,596,True,"['TF1', 'beauté', 'concours', 'feminism washing', 'france', 'féminisme', 'justice', 'miss', 'miss nord-pas-de-calais', 'média', 'police', 'sexisme', 'télévision', 'Ève Gilles']",1702967236.2066674,6
34,icGwtYWesWw,2023-12-17T14:19:35-08:00,2.04M subscribers,32,596,Now,Sports,FR,"402,477 views",8.3K,310,True,"['résumé', 'highlights', 'real', 'de', 'madrid', 'villarreal', 'jude', 'bellingham', 'brahim', 'diaz', 'rodrygo', 'vini', 'vinicius', 'junior', 'jr', 'endrick', 'luka', 'modric', 'la', 'liga', 'foot', 'football', 'club', 'fc']",1702967236.2066674,6
35,spmAWUn0k40,2023-12-17T09:52:44-08:00,707K subscribers,33,859,Now,Sports,FR,"86,305 views",1.5K,76,True,"['champions cup', 'harlequins', 'rugby', 'sport', 'stade toulousain']",1702967236.2066674,6
36,k51hM1cEgcs,2023-12-17T10:00:21-08:00,1.03M subscribers,34,764,Now,Science & Technology,FR,"75,058 views",3.1K,123,True,,1702967236.2066674,6
37,-3Xvyo_-Pyg,2023-12-17T03:26:56-08:00,605K subscribers,35,1494,Now,Entertainment,FR,"39,838 views",3.3K,86,False,,1702967236.2066674,6
38,JGP98IDCrTc,2023-12-17T08:14:52-08:00,312K subscribers,36,784,Now,Science & Technology,FR,"58,620 views",6.4K,293,True,"['pixmob', 'coldplay', 'the weeknd', 'taylor swift', 'imagine dragons', 'lady gaga', 'bad bunny', 'elton john', 'wristband', 'infrarouge', 'menu', 'ecologique', 'concert', 'spectacle']",1702967236.2066674,6
39,bOppj5rT2xA,2023-12-17T08:30:06-08:00,436K subscribers,37,673,Now,Entertainment,FR,"39,533 views",3.5K,44,True,"['FR', 'AlphaCast', 'Gameplay', 'Alfacast', 'France', 'Lynkus', 'Live', 'Twitch', 'Meilleurs moments', 'Best of', '35', 'Tablequest', 'Jeu vidéo', 'gameplay', 'drôle', 'blagues', 'rire', 'clips', 'Stream', 'Streaming', 'Alpha', 'Alfa', 'M4F', 'Ted', 'Eventis', 'Troma', 'Ted Etienne', 'AVAMIND', 'AVA', 'Gom4rt', 'Antoine Daniel', 'JDG', 'Mynthos', 'Joueur du Grenier', 'Dead Space', 'Grounded', 'Warhammer']",1702967236.2066674,6
40,RrasC4E_1R8,2023-12-17T03:00:31-08:00,1.13M subscribers,38,1048,Now,Entertainment,FR,"106,357 views",4.7K,259,True,,1702967236.2066674,6
41,OBgUnwkPivg,2023-12-15T09:22:32-08:00,1.95M subscribers,39,509,Now,People & Blogs,FR,"865,814 views",5.8K,658,False,"['guy marchand', 'hommage', 'patrick sébastien']",1702967236.2066674,6
42,Mz-J5JPxxBI,2023-12-17T02:59:33-08:00,136K subscribers,40,888,Now,Music,FR,"64,112 views",4.8K,203,True,"['Beendo z', 'Retour à l’école', 'École', 'Élèves', 'Rap', 'Raplume', 'Interview', 'Interview Beendo Z', 'Au tableau']",1702967236.2066674,6
43,mWacdcatC9o,2023-12-16T22:35:44-08:00,1.4M subscribers,41,52,Now,Film & Animation,FR,"2,934,525 views",212K,10K,False,,1702967236.2066674,6
44,BYKz4ksSFFc,2023-12-17T03:00:12-08:00,116K subscribers,42,157,Now,Music,FR,"55,347 views",3.5K,131,False,"['rsko chanel bag parole', 'rsko chanel bag']",1702967236.2066674,6
45,HCJ2WHNpQqc,2023-12-15T03:00:17-08:00,1.2M subscribers,43,171,Now,Music,FR,"512,729 views",33K,935,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",1702967236.2066674,6
46,BOQ1FdoBBmI,2023-12-16T00:59:24-08:00,850K subscribers,44,719,Now,Film & Animation,FR,"251,080 views",30K,1.2K,True,"['théorie', 'Chronik Fiction', 'Fabio Soares', 'Mike Zonnenberg', 'cinéma', 'web-série', 'série digitale', 'analyse', 'critique', 'film', 'chronique', 'berlin', 'lacasadepapel', 'netflix', 'berlin trailer', 'berlin bande annonce vf', 'berlin bande annonce fr']",1702967236.2066674,6
47,sRtFQf5wQ-U,2023-12-17T15:21:13-08:00,395K subscribers,45,283,Now,People & Blogs,FR,"150,720 views",2.3K,299,True,"['2023/24', 'football', 'futebol', 'goals', 'golos', 'highlights', 'liga portugal', 'liga portugal betclic', 'liga portuguesa', 'portugal', 'portuguese league', 'primeira liga', 'resumo', 'season 23/24', 'soccer', 'sp:dt=2023-12-17T20:30:00Z', 'sp:li=port', 'sp:st=soccer', 'sp:ti:away=SLB', 'sp:ti:home=SCB', 'sp:ty=high']",1702967236.2066674,6
48,5VojZY6p798,2023-12-17T06:49:09-08:00,916K subscribers,46,546,Now,Science & Technology,FR,"63,135 views",5.1K,345,True,"['TheiCollection', 'Studio TheiCollection', 'Setup TheiCollection', 'Apple', 'Tech', 'Roche Bobois', 'Polygonia Roche Bobois', 'Furtif Roche Bobois', 'Bureau Roche Bobois', 'Setup highTech', 'HighTech', 'Technologie', 'JB', 'Jojol', 'Gentil', 'Garçon', 'Astuces tournage', 'astuces', 'setup astuce', 'setup caméra', 'setup tech', 'studio tech', 'The Frame', 'Philips hue', 'Astuces Philips Hue']",1702967236.2066674,6
49,qj9REJK5K3w,2023-12-17T11:53:37-08:00,2.04M subscribers,47,835,Now,Sports,FR,"201,722 views",3K,230,True,"['coupe', 'du', 'monde', 'championnat', 'championnats', 'mondial', 'hand', 'handball', 'equipe', 'de', 'france', 'bleu', 'bleus', 'bleue', 'bleues', 'norvege', 'norway']",1702967236.2066674,6
50,5jrMwhmYW1A,2023-12-14T07:56:41-08:00,158K subscribers,0,151,Recently Trending,Comedy,FR,"933,551 views",43K,2K,False,"['malik bentalha', 'encore', 'titanic', 'jamel comedy club', 'marrakech du rire', 'rendez-vous en terre inconnue', 'sketch', 'nouveau', 'spectacle', 'stand-up', 'entier', 'colors', 'jul', 'becan', 'show', 'sch', 'freeze corleone', 'haaarp', 'francais', 'fr', 'niska', 'tv', 'angele', 'kalash', 'chalgoumi', 'praud', 'cnews', ""l'heure de trop"", 'nouveau monde', 'pascal praud', ""l'heure des pros"", 'debat', 'islam', 'parodie', 'israel', 'palestine', 'djellaba', 'islamique', 'vetement', 'lastella', 'zemmour', 'comedy', 'comedie', 'humour', 'rap', 'freestyle', 'booska p', 'interview', 'fougasse', 'streaming', 'react', 'reaction', 'avis']",1702967236.2066674,6
51,QdBZY2fkU-0,2023-12-04T15:07:10-08:00,10.3M subscribers,1,90,Recently Trending,Gaming,FR,"153,285,982 views",10M,832K,True,"['Rockstar Games', 'Grand Theft Auto VI', 'GTAVI', 'GTA 6', 'GTA Six', 'Grand Theft Auto', 'GTA', 'Vice City', 'Leonida']",1702967236.2066674,6
52,LnW-DwBrWLk,2023-12-17T07:59:59-08:00,4M subscribers,2,827,Recently Trending,Comedy,FR,"503,309 views",40K,560,True,,1702967236.2066674,6
53,9gAADPMt1FU,2023-12-17T10:28:05-08:00,725K subscribers,3,1056,Recently Trending,Comedy,FR,"344,834 views",59K,1.3K,True,,1702967236.2066674,6
54,K4GQRiuNpP0,2023-12-17T08:00:33-08:00,1.99M subscribers,4,2773,Recently Trending,Howto & Style,FR,"310,872 views",13K,444,False,,1702967236.2066674,6
55,6oLB9vDNvI0,2023-12-15T09:47:00-08:00,2.1M subscribers,5,394,Recently Trending,Entertainment,FR,"704,343 views",17K,617,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",1702967236.2066674,6
56,HCJ2WHNpQqc,2023-12-15T03:00:17-08:00,1.2M subscribers,6,171,Recently Trending,Music,FR,"512,729 views",33K,935,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",1702967236.2066674,6
57,pFpjyAp8aJ0,2023-12-13T03:00:46-08:00,706K subscribers,7,7828,Recently Trending,Entertainment,FR,"532,317 views",19K,376,True,['Zack Nani'],1702967236.2066674,6
58,zePFAZMUnbU,2023-12-08T09:18:08-08:00,4.91M subscribers,8,2314,Recently Trending,Howto & Style,FR,"2,233,157 views",76K,819,True,"['Fastgoodcuisine', 'Fastgood', 'Fastfood', 'Qui est', 'Qui est l’imposteur', 'l’imposteur', 'Plat piégé', 'Piégé', 'Qui est le menteur', 'Le menteur', ""qui est l'imposteur"", 'Qui Aura Le Plat Piégé ?', ""qui aura l'objet piégé"", 'challenge', 'Qui est l’imposteur ?', 'inox', 'inoxtag', 'inoxtag imposteur', 'inoxtag fastgoodcuisine', 'fastgoodcuisine inoxtag', 'fastgoodcuisine inox', 'gurky', 'gurky fast food', 'gurky fastgoodcuisine', 'tacos piégé', 'fastfood piégé', 'gurky le murky']",1702967236.2066674,6
59,dh8XxY717Gw,2023-12-07T09:15:03-08:00,2.5M subscribers,9,1740,Recently Trending,Autos & Vehicles,FR,"3,199,262 views",324K,32K,True,"['vilebrequin', 'voiture', 'automobile', 'essai', 'test', 'vultech', 'vilbrequin', 'multipla', 'xantia', 'mécanique', ""dos d'âne"", 'dodane', 'dodane 130', 'dos dane 130', ""vilebrequin dos d'ane"", ""vilebrequin dos d'âne"", ""dos d'ane 170"", 'vilebrequin bus', 'drift', 'drole', 'fun', 'squeezie', 'amixem', 'joyca', '1000tipla', 'vilebrequin bourré', ""dos d'âne 170"", '1ÈRE 130', 'top gear', 'crash', 'accident', 'jump', 'drift bus', 'dodane 170', 'mcfly', 'fin vilebrequin', 'vilebrequin fini', 'arret vilebrequin', 'vilebrequin drama', 'vilebrequin fin', 'dernière video']",1702967236.2066674,6
60,OBgUnwkPivg,2023-12-15T09:22:32-08:00,1.95M subscribers,10,509,Recently Trending,People & Blogs,FR,"865,814 views",5.8K,658,False,"['guy marchand', 'hommage', 'patrick sébastien']",1702967236.2066674,6
61,WB9wpwPVzyY,2023-12-08T09:00:37-08:00,6.84M subscribers,11,229,Recently Trending,Music,FR,"7,515,000 views",138K,1.1K,True,"['JuL', 'Alonzo', 'La fusion', 'Clip Officiel', 'La Route Est Longue', 'LREL']",1702967236.2066674,6
62,aZOiDNzoeWQ,2023-12-17T02:17:24-08:00,9.19M subscribers,12,1679,Recently Trending,Entertainment,FR,"991,987 views",64K,1.7K,True,"['michou', 'roue', 'tournes', 'souffres', 'vidéo', 'Tu']",1702967236.2066674,6
63,oByOOqDerrM,2023-12-15T10:00:06-08:00,1.15M subscribers,13,1800,Recently Trending,Entertainment,FR,"395,593 views",25K,327,False,,1702967236.2066674,6
64,XE_IK7ouDuc,2023-12-07T15:00:18-08:00,95.9K subscribers,14,238,Recently Trending,Music,FR,"2,831,065 views",66K,2.1K,False,"['dadju i love you', 'tayc i love you', ""et si je te dit que je t'aime"", 'dadju tayc', 'tayc dadju', 'dadju tayc album', 'tayc dadju album', 'projet commun tayc dadju', 'projet commun dadju tayc', 'tayc dadju album commun', 'dadju tayc album commun', 'tayc dadju paroles', 'dadju tayc paroles']",1702967236.2066674,6
65,_Gv62FX9fFc,2023-12-07T09:30:05-08:00,53.6K subscribers,15,2669,Recently Trending,Entertainment,FR,"1,665,978 views",51K,1K,False,"['Loris', 'giuliano', 'istanbul', 'station service', 'roman frayssinet', 'finale ldc', 'league des champions']",1702967236.2066674,6
66,F8lPTlpThEo,2023-12-08T09:01:00-08:00,1.31M subscribers,16,203,Recently Trending,Music,FR,"1,245,475 views",63K,1.5K,False,"['Zola', 'Koba', 'Koba Ła D', 'Kobalad', 'zola x koba Ła d', 'zola feat koba Ła d', 'aller sans retour', 'allersansretour', 'tiakoxgazo', 'Tiago x gazo', 'mlgx', 'La melo est gangz', 'Tiakola feat gazo', 'Zola feat koba aller sans retour', 'zola feat koba Ła d aller sans retour', 'Zola - Koba LaD', 'TruthRecords', 'BMF', 'Truth Records', 'AWA', 'AWA GANG', 'KORE', 'GAZO TIAKOLA', 'ALBUM COMMUN', 'Tiakola - Gazo', 'Gazo Tiakola']",1702967236.2066674,6
67,EUtsTZK0YuY,2023-12-15T08:00:14-08:00,627K subscribers,17,1106,Recently Trending,Entertainment,FR,"778,455 views",20K,1.2K,True,"['jai construit une piece secrete', 'jai construit une piece secrete dans ma maison de noel', 'jai construit une piece secrete maison', 'piece secrete maison', 'piece secrete maison de noel', 'piece secrete']",1702967236.2066674,6
68,jclw_cAtcIg,2023-12-15T09:00:09-08:00,226K subscribers,18,171,Recently Trending,Music,FR,"351,405 views",24K,954,False,,1702967236.2066674,6
69,WnBynfbm4e8,2023-12-13T14:30:33-08:00,985K subscribers,19,13791,Recently Trending,Sports,FR,"685,352 views",31K,109,True,"['foot', 'football', 'streaming', 'direct', 'match', 'sowdred', 'ligue des champions', 'champions league', 'ldc', 'paris saint germain', 'psg', 'paris', 'borussia dortmund', 'dortmund', 'psg dortmund', 'psg vs dortmund', 'paris dortmund', 'paris vs dortmund', 'paris sg dortmund', 'psg bvb', 'psg vs bvb', 'paris bvb', 'paris vs bvb', 'match en direct', 'matche en direct', 'match en direct aujourd-hui', 'psg dortmund live', 'psg bvb live', 'paris dortmund live', 'psg dortmund en direct', 'live psg dortmund', 'psg live', 'dortmund live', 'psg match']",1702967236.2066674,6
70,TAKjuokhpyg,2023-12-15T09:00:02-08:00,4.39M subscribers,20,214,Recently Trending,Music,FR,"323,693 views",16K,692,False,"['lacrim', 'fugazi', 'en attendant corleone', 'plk', 'plk periph', 'kaaris', 'ninho', 'kerchak ziak', 'kerchak', 'lacrim rap', 'rap francais', 'lacrim baby gang', 'lacrim album', 'rap fr', 'rap', 'tendance rap', 'jul', 'jul alonzo', 'gazo', 'tiakola', 'gazo tiakola', 'zola koba la d', 'zola', 'koba la d', 'jul sdm', 'sdm', 'timal zed', 'mayo ninho', 'pnl']",1702967236.2066674,6
71,6X1Ko_TExuM,2023-12-16T03:45:00-08:00,34.8K subscribers,21,810,Recently Trending,Entertainment,FR,"301,247 views",5.7K,272,False,,1702967236.2066674,6
72,YG3EhWlBaoI,2023-12-14T18:31:24-08:00,3.23M subscribers,22,209,Recently Trending,Music,FR,"10,457,529 views",703K,81K,False,"['Playboi Carti', '2024', 'I AM MUSIC', 'MUSIC']",1702967236.2066674,6
73,H8xAfHCfrng,2023-12-14T09:36:15-08:00,3.33M subscribers,23,148,Recently Trending,Music,FR,"1,019,957 views",29K,1.6K,False,,1702967236.2066674,6
74,0VRHcvALBTk,2023-12-14T23:00:00-08:00,195K subscribers,24,322,Recently Trending,Howto & Style,FR,"465,538 views",2.1K,,False,,1702967236.2066674,6
75,InIdV5yM1WQ,2023-12-12T09:00:14-08:00,80.8K subscribers,25,2901,Recently Trending,Film & Animation,FR,"731,760 views",26K,625,True,"['Les produits laitiers', 'Amine', 'Billy', 'Ferme', 'Produits laitiers']",1702967236.2066674,6
76,6I5Xg7gz2CM,2023-12-09T04:30:03-08:00,1.3M subscribers,26,1890,Recently Trending,Entertainment,FR,"832,604 views",43K,1.3K,True,"['boucher', 'français', 'japon', 'viande', 'louis']",1702967236.2066674,6
