,videoId,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,scanTimeStamp,Epoch
0,bfmUsDJjBkU,2023-12-17T02:02:00-08:00,5.79M subscribers,0,4585,Now,Comedy,FR,"2,540,464 views",184K,3.2K,True,"['Mastu', 'Mastus', 'Humour', 'Matsu', 'loat', 'mastu enfer', 'mastu michou', 'michou', 'mastu zafeel', 'zafeel', 'hctuan', 'mchou enfer']",1702967236.2066674,6
1,9gAADPMt1FU,2023-12-17T10:28:05-08:00,725K subscribers,1,1056,Now,Comedy,FR,"344,834 views",59K,1.3K,True,,1702967236.2066674,6
2,LnW-DwBrWLk,2023-12-17T07:59:59-08:00,4M subscribers,0,827,Now,Comedy,FR,"503,309 views",40K,560,True,,1702967236.2066674,6
3,K4GQRiuNpP0,2023-12-17T08:00:33-08:00,1.99M subscribers,1,2773,Now,Howto & Style,FR,"310,758 views",13K,444,False,,1702967236.2066674,6
4,9RhWXPcKBI8,2023-12-16T09:00:01-08:00,219M subscribers,2,1627,Now,Entertainment,FR,"64,749,575 views",3M,50K,True,,1702967236.2066674,6
5,aZOiDNzoeWQ,2023-12-17T02:17:24-08:00,9.19M subscribers,3,1679,Now,Entertainment,FR,"991,987 views",64K,1.7K,True,"['michou', 'roue', 'tournes', 'souffres', 'vidéo', 'Tu']",1702967236.2066674,6
6,FuNLTys8xtQ,2023-12-17T07:41:08-08:00,2.51M subscribers,4,390,Now,Comedy,FR,"309,991 views",39K,625,True,"['kevin tran', 'kevin tran 陈科伟', 'rire jaune', 'le rire jaune', 'show jaune', 'le show jaune', 'kevin tran empereur', 'henry tran', 'cuisine', 'après mes toilettes', 'après mes toilettes ma cuisine', 'kevin tran cuisine', 'présentation de ma cuisine', 'cuisine tour', 'kitchen tour']",1702967236.2066674,6
7,M9p7xS8nKFg,2023-12-17T14:05:56-08:00,985K subscribers,5,11341,Now,Sports,FR,"229,802 views",11K,166,True,"['foot', 'football', 'streaming', 'direct', 'match', 'sowdred', 'ligue 1', 'paris saint germain', 'paris sg', 'paris', 'psg', 'lille osc', 'lille', 'losc', 'psg lille', 'psg vs lille', 'lille psg', 'lille vs psg', 'lille paris', 'lille vs paris', 'lille paris sg', 'lille vs paris sg', 'losc psg', 'losc vs psg', 'losc paris', 'losc vs paris', 'match en direct', 'matche en direct', 'match en direct aujourd-hui', 'lille psg live', 'losc psg live', 'lille paris live', 'psg lille live', 'psg live', 'messi', 'amazon prime live', 'amazon prime', 'psg match', 'leo']",1702967236.2066674,6
8,4R7vRFGJr3k,2023-12-17T06:59:58-08:00,28.4M subscribers,6,191,Now,Music,FR,"4,344,095 views",468K,45K,True,"['JYP Entertainment', 'JYP', 'ITZY', '있지', 'イッチ', '예지', '리아', '류진', '채령', '유나', 'YEJI', 'LIA', 'RYUJIN', 'CHAERYEONG', 'YUNA', 'イェジ', 'リア', 'リュジン', 'チェリョン', 'ユナ', 'อิทจี', 'เยจี', 'ลีอา', 'รยูจิน', 'แชรยอง', 'ยูนา', 'ITZY VIDEOS', 'ITZY BEHIND', 'MV', 'ITZY MV', 'ITZY MUSIC VIDEOS', 'Teaser', 'ITZY Teaser', 'ITZY VLOG', 'VLOG', ""IT'z Different"", ""IT'z ICY"", ""IT'z ME"", 'Not Shy', 'GUESS WHO', 'CRAZY IN LOVE', 'DALLA DALLA', 'ICY', 'WANNABE', '마.피.아.IN THE MORNING', 'LOCO', 'ITZY?ITZY!', 'ITZY CHECKMATE', 'CHECKMATE', 'ITZY COMEBACK', 'SNEAKERS', 'Boys Like You', 'CHESHIRE', 'KILL MY DOUBT', 'CAKE', 'BORN TO BE']",1702967236.2066674,6
9,vvnlLGFv2mI,2023-12-17T03:00:45-08:00,1.54M subscribers,7,2208,Now,Autos & Vehicles,FR,"600,215 views",43K,1.2K,True,,1702967236.2066674,6
10,Ap7qPHeZcgM,2023-12-16T23:18:06-08:00,1.38M subscribers,8,481,Now,Entertainment,FR,"329,255 views",5K,357,False,"['colby covington', 'donald trump', 'droitufc', 'leon edwards', 'mma', 'sports de combat', 'ufc']",1702967236.2066674,6
11,6f1Bg-fqBRg,2023-12-17T02:00:12-08:00,367K subscribers,9,2566,Now,Entertainment,FR,"129,379 views",11K,440,True,"['one piece', 'one piece théorie', 'one piece theory', 'one', 'piece', 'theorie', 'one piece 1088', 'one piece chapitre', 'one piece spoil', 'Luffy', 'Nika', 'Gomu gomu no mi', 'hito hito no mi model nika', 'Joyboy', 'Haki', 'devil fruit', ""L'HISTOIRE DE LUFFY ET LA FIN DE ONE PIECE EXPLIQUÉE !"", 'Barbe Noire', 'Marshall D. teach', 'Teach vs Luffy', 'la disparition du gomu gomu no mi', 'Haki des rois', 'Luffy éveil', 'One Piece 1102', 'one piece review', 'Goji', 'anime', 'manga', 'Oda', 'iceberg one piece']",1702967236.2066674,6
12,pIqARNahjJw,2023-12-17T10:00:30-08:00,564K subscribers,10,545,Now,Science & Technology,FR,"131,240 views",15K,499,True,"['iphone', 'apple', 'imessage', 'rcs', 'bulle bleue', 'bulle verte', 'léo duff', 'beeper', 'android', 'ios']",1702967236.2066674,6
13,n4hyVsz7FMA,2023-12-17T01:00:27-08:00,2.43M subscribers,11,2988,Now,Entertainment,FR,"114,952 views",10K,330,True,"['horia', 'youtubeuse', 'true crime', 'thread horreur', 'Horia horreur', 'horroria', 'histoire horreur', 'la sombre histoire de', 'sombre histoire Horia', 'Lady Diana', 'la sombre histoire de lady diana', 'sombre histoire lady diana', 'lady diana reportage', 'lady diana documentaire', 'famille royale', 'prince charles', 'reine elisabeth', 'aromazone', 'skincare', 'mystère', 'étrange', 'lady diana mystère', 'histoire de lady diana', 'lady di', 'princesse diana', 'théories', 'lady diana théories', 'affaire', 'histoire lady di']",1702967236.2066674,6
14,usTqmg0xNZY,2023-12-15T08:22:26-08:00,7.24M subscribers,12,2246,Now,Entertainment,FR,"1,863,231 views",170K,4.6K,True,"['mcfly', 'carlito', 'golden moustache', 'fatshow', 'badass', 'dab', ""j'effectue"", 'le', 'et', 'on', 'appelle', 'des', 'gens', 'au', 'hasard']",1702967236.2066674,6
15,SwlRSu0jjyU,2023-12-17T08:25:00-08:00,8.33M subscribers,13,985,Now,Comedy,FR,"1,628,753 views",120K,1.2K,True,"['amixem', 'humour', 'delire']",1702967236.2066674,6
16,tfht2Piljo8,2023-12-17T04:07:22-08:00,492K subscribers,14,334,Now,Entertainment,FR,"379,512 views",2.9K,1.5K,True,,1702967236.2066674,6
17,FrTfxDY2eyI,2023-12-17T08:23:46-08:00,315K subscribers,15,621,Now,Comedy,FR,"95,712 views",14K,366,True,,1702967236.2066674,6
18,NGfpot1_2Is,2023-12-17T03:00:12-08:00,548K subscribers,16,2023,Now,Howto & Style,FR,"100,579 views",9.1K,382,True,"['honeyshay', 'honey shay', 'Chaiyna', 'comores', 'lifestyle', 'beauté', 'vlog', 'famille', 'family game', 'habitue toi', 'Family', 'Family Games', 'Océane', 'Yoan', 'Yo4real']",1702967236.2066674,6
19,W_l0npDNILY,2023-12-17T05:00:31-08:00,2.56M subscribers,17,966,Now,Gaming,FR,"556,727 views",42K,399,True,"['terracid', 'laink', 'wankil', 'lego', 'fortnite', 'minecraft', 'build', 'construction']",1702967236.2066674,6
20,TOIAdoDwYYs,2023-12-17T01:30:05-08:00,230K subscribers,18,1207,Now,Gaming,FR,"95,018 views",8.4K,246,True,"['pokemon random', 'choisi ton starter', 'choisi ton pokemon', 'challenge pokemon', 'randomizer pokemon violet', 'randomizer pokemon ecarlate']",1702967236.2066674,6
21,LY0Ll7LRYDI,2023-12-17T09:09:58-08:00,5.43M subscribers,19,953,Now,Entertainment,FR,"777,225 views",65K,4.2K,True,"['seb la frite', 'seb', 'ce mec', 'seblafrite', 'sebastien frit', 'histoire', 'incroyable', 'mystère', 'musique', 'documentaire', 'Tecktonik', 'danse electro', 'metropolis', 'rungis', 'teck tonik', 'story', 'France']",1702967236.2066674,6
22,uKpgHMkjF_8,2023-12-17T08:30:12-08:00,92.1K subscribers,20,1445,Now,Film & Animation,FR,"55,838 views",5.4K,337,False,"['film', 'films', 'chronique', 'cinema', 'saga', 'humour', 'analyse', 'box office', 'critique', 'resume', 'la suite de trop', 'video', 'youtube', 'critique cinema', 'critique de film', 'Cinéphile', 'Noel', 'Christmas', 'Aladdin', 'Le Roi Lion', 'La Belle et le Bete', 'Pocahontas', 'Disney', 'Le Retour de Jafar', 'Karime Debbache', 'Crossed', 'Chroma', 'Guillaume Cassar', 'Notserious', 'la petite sirene', 'mickey', 'La petite sirene 2', 'La Belle et le Clochard', 'La Belle et le Clochard 2', 'Le Bossu de Notre Dame', 'Cendrillon', 'PeterPan', 'Les 101 Dalmatiens', 'Cruella', 'Tarzan']",1702967236.2066674,6
23,lTmJJ3AGizk,2023-12-17T04:00:30-08:00,106K subscribers,21,1456,Now,Gaming,FR,"97,297 views",4.5K,267,False,"['jeux vidéo', 'gaming', 'clip', 'twitch', 'twitchfr', 'montage', 'best of', 'shorts', 'tiktok', 'humour', 'drole', 'wii sports', 'wii sports resort', 'matt', 'wii']",1702967236.2066674,6
24,ziq9BzdRvwY,2023-12-17T10:00:28-08:00,146K subscribers,22,3163,Now,Entertainment,FR,"142,026 views",7K,173,True,,1702967236.2066674,6
25,SG065LnQ08Q,2023-12-16T10:02:38-08:00,688K subscribers,23,1941,Now,Entertainment,FR,"195,892 views",14K,201,True,"['billy', 'rebeudeter', 'jeu', 'jeux', 'horreur', 'fears', 'to', 'fantom', 'fathom', 'live', 'twitch', 'rediff', 'rediffusion', 'react']",1702967236.2066674,6
26,WG4FIkH6HU8,2023-12-17T09:00:10-08:00,412K subscribers,24,690,Now,Entertainment,FR,"70,024 views",4.3K,99,True,"['Ski', 'Freeride', 'extreme', 'Bimboes', 'Mickael', 'mickael bimboes', 'Freeride world tour', 'winteractivity', 'winter activity', 'winter', 'brutisode', 'snowboard', 'vtt', 'parapente', 'montagne', 'prank', 'scandale', 'backflip', 'freestyle', 'équipe', 'skiing', 'neige', 'film', 'avalanche', 'vlog', 'antagonist', 'gopro', 'dji', 'world', 'mtb', 'downhill', 'tricks', 'trick', 'fail', 'fails', 'best', 'chamonix', 'audi', 'yeah']",1702967236.2066674,6
27,DmdcktG7vXM,2023-12-17T10:49:02-08:00,58.5K subscribers,25,167,Now,Music,FR,"31,390 views",4.7K,3.2K,False,,1702967236.2066674,6
28,6X1Ko_TExuM,2023-12-16T03:45:00-08:00,34.8K subscribers,26,810,Now,Entertainment,FR,"301,247 views",5.7K,272,False,,1702967236.2066674,6
29,gRb87CBRZ2o,2023-12-17T03:00:27-08:00,319K subscribers,27,1592,Now,Film & Animation,FR,"58,022 views",4.5K,353,True,"['Cinéma', 'Durendal', 'Film', 'Vlog', 'Critique', 'Super Mario Bros', 'The Movie', 'Le Film', 'Aaron Horvath', 'Michael Jelenic', 'Chris Pratt', 'Anya Taylor-Joy', 'Jack Black', 'Seth Rogen', 'Jeu Vidéo', 'Aventure', 'Action']",1702967236.2066674,6
30,P0rMYaKFO7k,2023-12-17T08:00:01-08:00,253K subscribers,28,659,Now,Film & Animation,FR,"57,965 views",8.4K,538,True,"['Neuxs 6', 'Neuxs VI', 'Nexus 6', 'Science-Fiction', 'France', 'Metz', 'Blida', 'Fensch Toast', 'Science Fiction', 'Arnold Schwarzenegger', 'Linda Hamilton', 'Kyle Reese', 'T1000']",1702967236.2066674,6
31,6oLB9vDNvI0,2023-12-15T09:47:00-08:00,2.1M subscribers,29,394,Now,Entertainment,FR,"704,343 views",17K,617,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",1702967236.2066674,6
32,igsQae0v0HQ,2023-12-17T09:00:27-08:00,618K subscribers,30,1342,Now,Howto & Style,FR,"179,521 views",12K,104,True,['mayadorable'],1702967236.2066674,6
