,videoId,scanTimestamp,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,Epoch
0,bfmUsDJjBkU,1702971120.1949413,2023-12-17T02:02:00-08:00,5.79M subscribers,0,4585,Now,Comedy,FR,"2,545,918 views",185K,3.2K,True,"['Mastu', 'Mastus', 'Humour', 'Matsu', 'loat', 'mastu enfer', 'mastu michou', 'michou', 'mastu zafeel', 'zafeel', 'hctuan', 'mchou enfer']",7
1,9gAADPMt1FU,1702971120.1949413,2023-12-17T10:28:05-08:00,725K subscribers,1,1056,Now,Comedy,FR,"346,739 views",59K,1.3K,True,,7
2,LnW-DwBrWLk,1702971120.1949413,2023-12-17T07:59:59-08:00,4M subscribers,0,827,Now,Comedy,FR,"504,574 views",40K,561,True,,7
3,K4GQRiuNpP0,1702971120.1949413,2023-12-17T08:00:33-08:00,1.99M subscribers,1,2773,Now,Howto & Style,FR,"312,099 views",13K,445,False,,7
4,9RhWXPcKBI8,1702971120.1949413,2023-12-16T09:00:01-08:00,219M subscribers,2,1627,Now,Entertainment,FR,"64,983,604 views",3M,50K,True,,7
5,aZOiDNzoeWQ,1702971120.1949413,2023-12-17T02:17:24-08:00,9.19M subscribers,3,1679,Now,Entertainment,FR,"993,812 views",64K,1.7K,True,"['michou', 'roue', 'tournes', 'souffres', 'vidéo', 'Tu']",7
6,FuNLTys8xtQ,1702971120.1949413,2023-12-17T07:41:08-08:00,2.51M subscribers,4,390,Now,Comedy,FR,"310,598 views",39K,624,True,"['kevin tran', 'kevin tran 陈科伟', 'rire jaune', 'le rire jaune', 'show jaune', 'le show jaune', 'kevin tran empereur', 'henry tran', 'cuisine', 'après mes toilettes', 'après mes toilettes ma cuisine', 'kevin tran cuisine', 'présentation de ma cuisine', 'cuisine tour', 'kitchen tour']",7
7,M9p7xS8nKFg,1702971120.1949413,2023-12-17T14:05:56-08:00,985K subscribers,5,11341,Now,Sports,FR,"229,821 views",11K,166,True,"['foot', 'football', 'streaming', 'direct', 'match', 'sowdred', 'ligue 1', 'paris saint germain', 'paris sg', 'paris', 'psg', 'lille osc', 'lille', 'losc', 'psg lille', 'psg vs lille', 'lille psg', 'lille vs psg', 'lille paris', 'lille vs paris', 'lille paris sg', 'lille vs paris sg', 'losc psg', 'losc vs psg', 'losc paris', 'losc vs paris', 'match en direct', 'matche en direct', 'match en direct aujourd-hui', 'lille psg live', 'losc psg live', 'lille paris live', 'psg lille live', 'psg live', 'messi', 'amazon prime live', 'amazon prime', 'psg match', 'leo']",7
8,4R7vRFGJr3k,1702971120.1949413,2023-12-17T06:59:58-08:00,28.4M subscribers,6,191,Now,Music,FR,"4,370,665 views",470K,45K,True,"['JYP Entertainment', 'JYP', 'ITZY', '있지', 'イッチ', '예지', '리아', '류진', '채령', '유나', 'YEJI', 'LIA', 'RYUJIN', 'CHAERYEONG', 'YUNA', 'イェジ', 'リア', 'リュジン', 'チェリョン', 'ユナ', 'อิทจี', 'เยจี', 'ลีอา', 'รยูจิน', 'แชรยอง', 'ยูนา', 'ITZY VIDEOS', 'ITZY BEHIND', 'MV', 'ITZY MV', 'ITZY MUSIC VIDEOS', 'Teaser', 'ITZY Teaser', 'ITZY VLOG', 'VLOG', ""IT'z Different"", ""IT'z ICY"", ""IT'z ME"", 'Not Shy', 'GUESS WHO', 'CRAZY IN LOVE', 'DALLA DALLA', 'ICY', 'WANNABE', '마.피.아.IN THE MORNING', 'LOCO', 'ITZY?ITZY!', 'ITZY CHECKMATE', 'CHECKMATE', 'ITZY COMEBACK', 'SNEAKERS', 'Boys Like You', 'CHESHIRE', 'KILL MY DOUBT', 'CAKE', 'BORN TO BE']",7
9,vvnlLGFv2mI,1702971120.1949413,2023-12-17T03:00:45-08:00,1.54M subscribers,7,2208,Now,Autos & Vehicles,FR,"601,038 views",43K,1.2K,True,,7
