,videoId,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,scanTimeStamp,Epoch
74,0VRHcvALBTk,2023-12-14T23:00:00-08:00,195K subscribers,24,322,Recently Trending,Howto & Style,FR,"465,379 views",2.1K,,False,,1702959476.2623816,4
75,InIdV5yM1WQ,2023-12-12T09:00:14-08:00,80.8K subscribers,25,2901,Recently Trending,Film & Animation,FR,"729,800 views",26K,624,True,"['Les produits laitiers', 'Amine', 'Billy', 'Ferme', 'Produits laitiers']",1702959476.2623816,4
76,Ap7qPHeZcgM,2023-12-16T23:18:06-08:00,1.38M subscribers,26,481,Recently Trending,Entertainment,FR,"328,706 views",5K,355,False,"['colby covington', 'donald trump', 'droitufc', 'leon edwards', 'mma', 'sports de combat', 'ufc']",1702959476.2623816,4
77,6I5Xg7gz2CM,2023-12-09T04:30:03-08:00,1.3M subscribers,27,1890,Recently Trending,Entertainment,FR,"831,929 views",43K,1.3K,True,"['boucher', 'français', 'japon', 'viande', 'louis']",1702959476.2623816,4
78,vvnlLGFv2mI,2023-12-17T03:00:45-08:00,1.54M subscribers,28,2208,Recently Trending,Autos & Vehicles,FR,"598,526 views",43K,1.2K,True,,1702959476.2623816,4
79,xu27rO4j1zc,2023-12-15T09:00:07-08:00,352K subscribers,29,180,Recently Trending,Music,FR,"460,070 views",8.3K,266,False,"['we renoi', 'WE RENOI', 'We Renoi - Guadalajara (Clip Officiel)', 'WE RENOI 2021', 'we renoi 2021', 'we renoi officiel', 'we renoi clip', 'we renoi rap français', 'we renoi nouveauté rap', 'we renoi rap', 'we renoi clip rap français', 'we renoi video clip']",1702959476.2623816,4
80,Rk8rSD1ryeI,2023-12-13T10:00:18-08:00,342K subscribers,30,2562,Recently Trending,Entertainment,FR,"318,093 views",17K,1.2K,False,,1702959476.2623816,4
81,QXFuHrFzeiQ,2023-12-03T04:05:17-08:00,5.94M subscribers,31,2753,Recently Trending,Entertainment,FR,"2,329,713 views",143K,2.4K,True,"['Joyca', 'video', 'reaction', 'Français', 'blindtest', 'moyen age', 'medieval', 'seb', 'sofyan', 'musique']",1702959476.2623816,4
82,SG065LnQ08Q,2023-12-16T10:02:38-08:00,688K subscribers,32,1941,Recently Trending,Entertainment,FR,"195,478 views",14K,201,True,"['billy', 'rebeudeter', 'jeu', 'jeux', 'horreur', 'fears', 'to', 'fantom', 'fathom', 'live', 'twitch', 'rediff', 'rediffusion', 'react']",1702959476.2623816,4
83,yXuEz2Az0Pw,2023-12-13T07:15:04-08:00,475K subscribers,33,1104,Recently Trending,Gaming,FR,"326,412 views",26K,644,True,"['Savun', 'Test en carton', 'TEC', 'avis', 'critique', 'review', 'savun', 'vayke', 'test', 'tec', 'test en carton', 'video test', 'ajestic', 'test dark souls', 'dark souls 3', 'dark souls 2', 'test starfield', 'avis starfield', 'starfield', 'bethesda', 'tod howard', 'todd howard', 'skyrim', 'fallout', 'ovlibion', 'xbox', 'phil spencer', 'microsoft', 'xbox series x', 'xbox series', 'playstation', 'PS5', 'playstation 5']",1702959476.2623816,4
84,FuNLTys8xtQ,2023-12-17T07:41:08-08:00,2.51M subscribers,34,390,Recently Trending,Comedy,FR,"309,065 views",39K,621,True,"['kevin tran', 'kevin tran 陈科伟', 'rire jaune', 'le rire jaune', 'show jaune', 'le show jaune', 'kevin tran empereur', 'henry tran', 'cuisine', 'après mes toilettes', 'après mes toilettes ma cuisine', 'kevin tran cuisine', 'présentation de ma cuisine', 'cuisine tour', 'kitchen tour']",1702959476.2623816,4
85,nxZsomptNw0,2023-12-14T07:00:42-08:00,886K subscribers,35,157,Recently Trending,Music,FR,"537,433 views",13K,438,False,,1702959476.2623816,4
86,CsypIF2PxhU,2023-12-15T09:00:04-08:00,1.5M subscribers,36,1860,Recently Trending,Entertainment,FR,"204,132 views",24K,988,True,"['Henry', 'Le Rire jaune', 'Kevin Tran', 'Henry Tran', 'Cyprien', 'Locklear', 'Squeezie', 'Gotaga', 'Doigby', 'Mastu', 'Amixem', 'LOAT', 'Joyca', 'Théodore', 'Amine', ""Amine m'a tué"", 'Francis Ngannou', 'SEB', 'A CONTRE COURANT', 'MMA', 'UFC', 'Jon Jones', 'La sueur', 'RMC SPORT', 'PFL', 'Tyson Fury', 'Boxing', 'Cameroune', 'Documentaire', 'Afrique', 'Seb la frite', 'Léna situation', 'Histoire', 'Mike Tyson', 'Mohammed Ali', 'Boxe anglaise', 'Ciryl Gane', 'Cedric Doumbe', 'Le Flash Back', 'Boxing Academy France']",1702959476.2623816,4
87,AzmDNvoQc0g,2023-12-14T15:01:09-08:00,2.47M subscribers,37,207,Recently Trending,Music,FR,"317,458 views",6.5K,339,False,"['Djadja', 'Dinaz', 'Alpha', 'Hip hop', 'rap', 'carré music', 'allpoints', 'planète rap', 'Djadja dinaz', 'aïcha', 'elle est sensible']",1702959476.2623816,4
88,jx2p0Z6ITuA,2023-12-14T03:00:38-08:00,932K subscribers,38,194,Recently Trending,Music,FR,"155,898 views",6.1K,998,False,"['Rohff', 'Francis Aboikoni', 'Housni Mkouboi', 'Loyauté']",1702959476.2623816,4
89,X3iJvZNDp9Y,2023-12-02T03:00:27-08:00,602K subscribers,39,4750,Recently Trending,Entertainment,FR,"1,926,160 views",90K,608,True,"['RASKA', 'Joyca', 'Djilsi', 'Maxime Biaggi', 'Le pire', 'vends ton skeud', 'mastu', 'michou', 'theodort']",1702959476.2623816,4
90,BOQ1FdoBBmI,2023-12-16T00:59:24-08:00,850K subscribers,40,719,Recently Trending,Film & Animation,FR,"250,543 views",30K,1.1K,True,"['théorie', 'Chronik Fiction', 'Fabio Soares', 'Mike Zonnenberg', 'cinéma', 'web-série', 'série digitale', 'analyse', 'critique', 'film', 'chronique', 'berlin', 'lacasadepapel', 'netflix', 'berlin trailer', 'berlin bande annonce vf', 'berlin bande annonce fr']",1702959476.2623816,4
91,UUYtl783ZS0,2023-12-05T10:00:20-08:00,442K subscribers,41,7361,Recently Trending,Music,FR,"842,256 views",23K,696,True,"['humour', 'emission', 'lateshow', 'live', 'stream', 'streaming', 'interview', 'happening', 'maximebiaggi', 'grimkujow', 'twitch']",1702959476.2623816,4
92,n_Dd7h_7cOM,2023-12-15T09:00:47-08:00,987K subscribers,42,181,Recently Trending,Music,FR,"273,037 views",8.3K,171,False,"['filtré', 'timal filtré', 'timal gazo', 'gazo filtré', 'timal', 'timal caméléon', 'booba caméléon', 'timal booba', 'timal gazo filtré', 'timal booba caméléon', 'timal vatos', 'timal chien', 'sdm bolide allemand', 'timal la 15', 'timal la 16', 'timal la 14', 'Timal zed', 'zed timal', 'timal feat zed', 'zed feat timal', 'timal sur écoute', 'sur écoute timal', 'zed sur écoute', 'sur écoute zed', 'timal zed écoute', 'écoute zed timal', 'clip timal zed', 'timal zed clip', 'clip zed timal', 'zed timal clip', 'gazo timal', 'booba timal']",1702959476.2623816,4
93,4R7vRFGJr3k,2023-12-17T06:59:58-08:00,28.4M subscribers,43,191,Recently Trending,Music,FR,"4,254,752 views",464K,45K,True,"['JYP Entertainment', 'JYP', 'ITZY', '있지', 'イッチ', '예지', '리아', '류진', '채령', '유나', 'YEJI', 'LIA', 'RYUJIN', 'CHAERYEONG', 'YUNA', 'イェジ', 'リア', 'リュジン', 'チェリョン', 'ユナ', 'อิทจี', 'เยจี', 'ลีอา', 'รยูจิน', 'แชรยอง', 'ยูนา', 'ITZY VIDEOS', 'ITZY BEHIND', 'MV', 'ITZY MV', 'ITZY MUSIC VIDEOS', 'Teaser', 'ITZY Teaser', 'ITZY VLOG', 'VLOG', ""IT'z Different"", ""IT'z ICY"", ""IT'z ME"", 'Not Shy', 'GUESS WHO', 'CRAZY IN LOVE', 'DALLA DALLA', 'ICY', 'WANNABE', '마.피.아.IN THE MORNING', 'LOCO', 'ITZY?ITZY!', 'ITZY CHECKMATE', 'CHECKMATE', 'ITZY COMEBACK', 'SNEAKERS', 'Boys Like You', 'CHESHIRE', 'KILL MY DOUBT', 'CAKE', 'BORN TO BE']",1702959476.2623816,4
94,6f1Bg-fqBRg,2023-12-17T02:00:12-08:00,367K subscribers,44,2566,Recently Trending,Entertainment,FR,"128,274 views",11K,438,True,"['one piece', 'one piece théorie', 'one piece theory', 'one', 'piece', 'theorie', 'one piece 1088', 'one piece chapitre', 'one piece spoil', 'Luffy', 'Nika', 'Gomu gomu no mi', 'hito hito no mi model nika', 'Joyboy', 'Haki', 'devil fruit', ""L'HISTOIRE DE LUFFY ET LA FIN DE ONE PIECE EXPLIQUÉE !"", 'Barbe Noire', 'Marshall D. teach', 'Teach vs Luffy', 'la disparition du gomu gomu no mi', 'Haki des rois', 'Luffy éveil', 'One Piece 1102', 'one piece review', 'Goji', 'anime', 'manga', 'Oda', 'iceberg one piece']",1702959476.2623816,4
95,7gA9o4myieI,2023-12-10T09:00:10-08:00,270K subscribers,45,9940,Recently Trending,Comedy,FR,"275,677 views",6.7K,1K,True,"['Seb Mellia', 'Humour', 'stand up', 'sketch', 'one man show', 'spectacle', 'vlog', 'podcast', '4 comiques dans le vent', 'Seb Mellia ne perd jamais', 'impro', 'show', 'drole', 'humoriste', 'divertissement', 'émission', 'Jerome Niel', 'Maxime', 'Blandine Lehout', 'Quick n toast', 'bagarre', 'couple', 'Amsterdam', 'Japon', 'La Ferme Celebrité']",1702959476.2623816,4
96,M9p7xS8nKFg,2023-12-17T14:05:56-08:00,985K subscribers,46,11341,Recently Trending,Sports,FR,"229,770 views",11K,166,True,"['foot', 'football', 'streaming', 'direct', 'match', 'sowdred', 'ligue 1', 'paris saint germain', 'paris sg', 'paris', 'psg', 'lille osc', 'lille', 'losc', 'psg lille', 'psg vs lille', 'lille psg', 'lille vs psg', 'lille paris', 'lille vs paris', 'lille paris sg', 'lille vs paris sg', 'losc psg', 'losc vs psg', 'losc paris', 'losc vs paris', 'match en direct', 'matche en direct', 'match en direct aujourd-hui', 'lille psg live', 'losc psg live', 'lille paris live', 'psg lille live', 'psg live', 'messi', 'amazon prime live', 'amazon prime', 'psg match', 'leo']",1702959476.2623816,4
97,HRfFR2z35hk,2023-12-17T03:30:09-08:00,1.37M subscribers,0,58,Short,Gaming,FR,"564,209 views",60K,423,True,"['fortnite', 'zetfar', 'lama', 'aléatoire', 'challenge', 'défi', 'stuff', 'skins', 'wazz', 'manette', 'chapitre 5', 'halloween', 'skin', 'chapitre 4', 'chapitre 4 saison 4', 'découverte', 'chapitre 1', 'cache', 'pleasant', 'park', 'chapter 1', 'zetfarcup', 'zetfarcupzb', 'zetfarcupzb fortnite', 'sprint', 'escalade', 'turbo', 'build', 'ravitaillements', '1 unreal', 'vs', 'tous', 'les', 'modes', 'sur', 'scuf', 'envision', 'pro', 'cheater', 'inoxtag', 'faire', 'top', 'dans', 'pays', 'du', 'monde', 'combo', 'tryhard', 'cachettes', 'saison OG', 'lego', 'lego fortnite', 'emote', 'exclusive', '10 items', 'attendus']",1702959476.2623816,4
98,6MXIRMi1tS8,2023-12-17T01:00:08-08:00,31.3K subscribers,1,60,Short,People & Blogs,FR,"346,004 views",24K,93,False,,1702959476.2623816,4
99,ZjrQ11eSsJY,2023-12-17T01:11:34-08:00,313K subscribers,2,60,Short,Science & Technology,FR,"235,789 views",18K,107,True,,1702959476.2623816,4
100,9P6xy-AC9Is,2023-12-17T04:41:14-08:00,1.98M subscribers,3,42,Short,Entertainment,FR,"230,607 views",15K,21,True,,1702959476.2623816,4
101,r1R7JgStaBw,2023-12-17T03:30:20-08:00,40.9K subscribers,4,47,Short,Gaming,FR,"188,991 views",10K,9,False,"['minecraft', 'minecraft ninjaxx', 'ninjaxx', 'ninjax', 'unchained', 'unchained_off', 'unchained off', 'fortnite', 'gaming', 'mise à jour', 'fortnite mise à jour', 'vbucks', 'unchained minecraft', 'mc', 'fuze', 'troll minecraft', 'noob minecraft', 'aventure', 'fuze 3', 'minecraft mais', 'minecraft fr', 'cheat', 'cheat minecraft', 'tnt minecraft', 'mrbeast', 'mode', 'mode minecraft', 'bombe nucléaire', '100 tnt', 'golem']",1702959476.2623816,4
102,DO3dTP9h6ho,2023-12-17T04:10:00-08:00,134K subscribers,5,29,Short,Gaming,FR,"142,438 views",16K,42,False,"['minecraft', 'minecraft shorts', 'minecraft short', 'minecraft tuto', 'minecraft easy tuto', 'minecraft shorts tuto', 'minecraft easy shorts', 'minecraft tuto short', 'minecraft tutoriel', 'minecraft survival tuto', 'minecraft astuce', 'minecraft astuce shorts', 'minecraft astuce short', 'minecraft astuce débutant', 'minecraft funny', 'minecraft memes', 'minecraft meme', 'easycraft', 'seed cheat minecraft', 'stuff cheat seed minecraft', 'minecraft seed speedrun']",1702959476.2623816,4
103,koGrjBe5kFE,2023-12-17T02:00:34-08:00,31.3K subscribers,6,60,Short,People & Blogs,FR,"188,532 views",13K,78,False,,1702959476.2623816,4
104,3mHwQzN2Po4,2023-12-16T09:31:09-08:00,1.77M subscribers,7,52,Short,People & Blogs,FR,"461,726 views",25K,81,True,,1702959476.2623816,4
105,67rSnZKLef0,2023-12-17T09:00:04-08:00,327K subscribers,8,58,Short,People & Blogs,FR,"71,351 views",4.8K,63,True,,1702959476.2623816,4
106,BSop5zkR7KY,2023-12-17T10:38:20-08:00,1.01M subscribers,9,15,Short,Comedy,FR,"84,110 views",7.7K,118,True,,1702959476.2623816,4
107,_Q4pcR5H2OE,2023-12-16T01:30:17-08:00,290K subscribers,10,60,Short,Entertainment,FR,"449,324 views",72K,608,True,,1702959476.2623816,4
108,iFDN9N-GIrw,2023-12-16T02:05:05-08:00,751K subscribers,11,60,Short,Entertainment,FR,"681,726 views",Like,477,True,,1702959476.2623816,4
109,9AYGP5imeWk,2023-12-16T07:02:32-08:00,321K subscribers,12,60,Short,Entertainment,FR,"407,401 views",23K,37,True,,1702959476.2623816,4
110,IMsEt4YBF3Q,2023-12-16T09:20:20-08:00,22.9K subscribers,13,42,Short,Gaming,FR,"257,133 views",16K,33,False,,1702959476.2623816,4
111,13DDTAbaL-A,2023-12-17T09:00:01-08:00,271K subscribers,14,39,Short,Gaming,FR,"88,449 views",7.6K,28,True,"['fortnite', 'tuto', 'tutoriel', 'manette', 'dizo', 'dizosan', 'comment faire', 'top 1', 'fortnite défi', 'défi', 'challenge', ""s'entrainer"", 'mise a jour', 'maj', 'nouvelle saison', 'nouveau', 'top 10', 'new', 'technique', 'tournoi', 'best of', 'fortnite dizo', 'fortnite vbuck', 'fortnite skin', 'skin', 'vbuck', 'fortnite nouvelle saison', 'fortnite saison', 'fortnite xp', 'fortnite rare', 'map fortnite', 'fortnite ranked', 'ranked', 'fortnite boutique', 'fortnite unreal', 'fortnite lego', 'fortnite chapitre 5', 'fortnite rank', 'wazz', 'zetfar', 'unchained', 'fortnite mode']",1702959476.2623816,4
