,Unnamed: 0,videoId,scanTimestamp,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,Epoch
65,65,_Gv62FX9fFc,1702951718.4469686,2023-12-07T09:30:05-08:00,53.5K subscribers,15,2669,Recently Trending,Entertainment,FR,"1,662,684 views",51K,1K,False,"['Loris', 'giuliano', 'istanbul', 'station service', 'roman frayssinet', 'finale ldc', 'league des champions']",2
66,66,F8lPTlpThEo,1702951718.4469686,2023-12-08T09:01:00-08:00,1.31M subscribers,16,203,Recently Trending,Music,FR,"1,241,563 views",63K,1.5K,False,"['Zola', 'Koba', 'Koba Ła D', 'Kobalad', 'zola x koba Ła d', 'zola feat koba Ła d', 'aller sans retour', 'allersansretour', 'tiakoxgazo', 'Tiago x gazo', 'mlgx', 'La melo est gangz', 'Tiakola feat gazo', 'Zola feat koba aller sans retour', 'zola feat koba Ła d aller sans retour', 'Zola - Koba LaD', 'TruthRecords', 'BMF', 'Truth Records', 'AWA', 'AWA GANG', 'KORE', 'GAZO TIAKOLA', 'ALBUM COMMUN', 'Tiakola - Gazo', 'Gazo Tiakola']",2
67,67,EUtsTZK0YuY,1702951718.4469686,2023-12-15T08:00:14-08:00,627K subscribers,17,1106,Recently Trending,Entertainment,FR,"775,446 views",20K,1.2K,True,"['jai construit une piece secrete', 'jai construit une piece secrete dans ma maison de noel', 'jai construit une piece secrete maison', 'piece secrete maison', 'piece secrete maison de noel', 'piece secrete']",2
68,68,jclw_cAtcIg,1702951718.4469686,2023-12-15T09:00:09-08:00,226K subscribers,18,171,Recently Trending,Music,FR,"345,978 views",24K,945,False,,2
69,69,WnBynfbm4e8,1702951718.4469686,2023-12-13T14:30:33-08:00,985K subscribers,19,13791,Recently Trending,Sports,FR,"685,579 views",31K,109,True,"['foot', 'football', 'streaming', 'direct', 'match', 'sowdred', 'ligue des champions', 'champions league', 'ldc', 'paris saint germain', 'psg', 'paris', 'borussia dortmund', 'dortmund', 'psg dortmund', 'psg vs dortmund', 'paris dortmund', 'paris vs dortmund', 'paris sg dortmund', 'psg bvb', 'psg vs bvb', 'paris bvb', 'paris vs bvb', 'match en direct', 'matche en direct', 'match en direct aujourd-hui', 'psg dortmund live', 'psg bvb live', 'paris dortmund live', 'psg dortmund en direct', 'live psg dortmund', 'psg live', 'dortmund live', 'psg match']",2
70,70,TAKjuokhpyg,1702951718.4469686,2023-12-15T09:00:02-08:00,4.39M subscribers,20,214,Recently Trending,Music,FR,"319,549 views",16K,688,False,"['lacrim', 'fugazi', 'en attendant corleone', 'plk', 'plk periph', 'kaaris', 'ninho', 'kerchak ziak', 'kerchak', 'lacrim rap', 'rap francais', 'lacrim baby gang', 'lacrim album', 'rap fr', 'rap', 'tendance rap', 'jul', 'jul alonzo', 'gazo', 'tiakola', 'gazo tiakola', 'zola koba la d', 'zola', 'koba la d', 'jul sdm', 'sdm', 'timal zed', 'mayo ninho', 'pnl']",2
71,71,6X1Ko_TExuM,1702951718.4469686,2023-12-16T03:45:00-08:00,34.8K subscribers,21,810,Recently Trending,Entertainment,FR,"300,553 views",5.7K,272,False,,2
72,72,YG3EhWlBaoI,1702951718.4469686,2023-12-14T18:31:24-08:00,3.22M subscribers,22,209,Recently Trending,Music,FR,"10,298,284 views",699K,81K,False,"['Playboi Carti', '2024', 'I AM MUSIC', 'MUSIC']",2
73,73,0VRHcvALBTk,1702951718.4469686,2023-12-14T23:00:00-08:00,195K subscribers,23,322,Recently Trending,Howto & Style,FR,"465,253 views",2.1K,,False,,2
74,74,H8xAfHCfrng,1702951718.4469686,2023-12-14T09:36:15-08:00,3.33M subscribers,24,148,Recently Trending,Music,FR,"1,014,018 views",29K,1.6K,False,,2
75,75,Ap7qPHeZcgM,1702951718.4469686,2023-12-16T23:18:06-08:00,1.38M subscribers,25,481,Recently Trending,Entertainment,FR,"327,928 views",5K,354,False,"['colby covington', 'donald trump', 'droitufc', 'leon edwards', 'mma', 'sports de combat', 'ufc']",2
76,76,vvnlLGFv2mI,1702951718.4469686,2023-12-17T03:00:45-08:00,1.54M subscribers,26,2208,Recently Trending,Autos & Vehicles,FR,"595,933 views",43K,1.2K,True,,2
77,77,InIdV5yM1WQ,1702951718.4469686,2023-12-12T09:00:14-08:00,80.7K subscribers,27,2901,Recently Trending,Film & Animation,FR,"726,617 views",26K,622,True,"['Les produits laitiers', 'Amine', 'Billy', 'Ferme', 'Produits laitiers']",2
78,78,6I5Xg7gz2CM,1702951718.4469686,2023-12-09T04:30:03-08:00,1.3M subscribers,28,1890,Recently Trending,Entertainment,FR,"830,840 views",43K,1.3K,True,"['boucher', 'français', 'japon', 'viande', 'louis']",2
79,79,xu27rO4j1zc,1702951718.4469686,2023-12-15T09:00:07-08:00,352K subscribers,29,180,Recently Trending,Music,FR,"458,942 views",8.3K,266,False,"['we renoi', 'WE RENOI', 'We Renoi - Guadalajara (Clip Officiel)', 'WE RENOI 2021', 'we renoi 2021', 'we renoi officiel', 'we renoi clip', 'we renoi rap français', 'we renoi nouveauté rap', 'we renoi rap', 'we renoi clip rap français', 'we renoi video clip']",2
80,80,Rk8rSD1ryeI,1702951718.4469686,2023-12-13T10:00:18-08:00,342K subscribers,30,2562,Recently Trending,Entertainment,FR,"317,535 views",17K,1.2K,False,,2
81,81,QXFuHrFzeiQ,1702951718.4469686,2023-12-03T04:05:17-08:00,5.94M subscribers,31,2753,Recently Trending,Entertainment,FR,"2,329,178 views",143K,2.4K,True,"['Joyca', 'video', 'reaction', 'Français', 'blindtest', 'moyen age', 'medieval', 'seb', 'sofyan', 'musique']",2
82,82,SG065LnQ08Q,1702951718.4469686,2023-12-16T10:02:38-08:00,688K subscribers,32,1941,Recently Trending,Entertainment,FR,"194,644 views",14K,200,True,"['billy', 'rebeudeter', 'jeu', 'jeux', 'horreur', 'fears', 'to', 'fantom', 'fathom', 'live', 'twitch', 'rediff', 'rediffusion', 'react']",2
83,83,yXuEz2Az0Pw,1702951718.4469686,2023-12-13T07:15:04-08:00,475K subscribers,33,1104,Recently Trending,Gaming,FR,"326,058 views",26K,644,True,"['Savun', 'Test en carton', 'TEC', 'avis', 'critique', 'review', 'savun', 'vayke', 'test', 'tec', 'test en carton', 'video test', 'ajestic', 'test dark souls', 'dark souls 3', 'dark souls 2', 'test starfield', 'avis starfield', 'starfield', 'bethesda', 'tod howard', 'todd howard', 'skyrim', 'fallout', 'ovlibion', 'xbox', 'phil spencer', 'microsoft', 'xbox series x', 'xbox series', 'playstation', 'PS5', 'playstation 5']",2
84,84,FuNLTys8xtQ,1702951718.4469686,2023-12-17T07:41:08-08:00,2.51M subscribers,34,390,Recently Trending,Comedy,FR,"307,434 views",38K,619,True,"['kevin tran', 'kevin tran 陈科伟', 'rire jaune', 'le rire jaune', 'show jaune', 'le show jaune', 'kevin tran empereur', 'henry tran', 'cuisine', 'après mes toilettes', 'après mes toilettes ma cuisine', 'kevin tran cuisine', 'présentation de ma cuisine', 'cuisine tour', 'kitchen tour']",2
85,85,nxZsomptNw0,1702951718.4469686,2023-12-14T07:00:42-08:00,886K subscribers,35,157,Recently Trending,Music,FR,"536,375 views",13K,437,False,,2
86,86,CsypIF2PxhU,1702951718.4469686,2023-12-15T09:00:04-08:00,1.5M subscribers,36,1860,Recently Trending,Entertainment,FR,"203,523 views",24K,985,True,"['Henry', 'Le Rire jaune', 'Kevin Tran', 'Henry Tran', 'Cyprien', 'Locklear', 'Squeezie', 'Gotaga', 'Doigby', 'Mastu', 'Amixem', 'LOAT', 'Joyca', 'Théodore', 'Amine', ""Amine m'a tué"", 'Francis Ngannou', 'SEB', 'A CONTRE COURANT', 'MMA', 'UFC', 'Jon Jones', 'La sueur', 'RMC SPORT', 'PFL', 'Tyson Fury', 'Boxing', 'Cameroune', 'Documentaire', 'Afrique', 'Seb la frite', 'Léna situation', 'Histoire', 'Mike Tyson', 'Mohammed Ali', 'Boxe anglaise', 'Ciryl Gane', 'Cedric Doumbe', 'Le Flash Back', 'Boxing Academy France']",2
87,87,AzmDNvoQc0g,1702951718.4469686,2023-12-14T15:01:09-08:00,2.47M subscribers,37,207,Recently Trending,Music,FR,"316,892 views",6.5K,339,False,"['Djadja', 'Dinaz', 'Alpha', 'Hip hop', 'rap', 'carré music', 'allpoints', 'planète rap', 'Djadja dinaz', 'aïcha', 'elle est sensible']",2
88,88,jx2p0Z6ITuA,1702951718.4469686,2023-12-14T03:00:38-08:00,932K subscribers,38,194,Recently Trending,Music,FR,"155,347 views",6.1K,998,False,"['Rohff', 'Francis Aboikoni', 'Housni Mkouboi', 'Loyauté']",2
89,89,X3iJvZNDp9Y,1702951718.4469686,2023-12-02T03:00:27-08:00,602K subscribers,39,4750,Recently Trending,Entertainment,FR,"1,925,053 views",90K,608,True,"['RASKA', 'Joyca', 'Djilsi', 'Maxime Biaggi', 'Le pire', 'vends ton skeud', 'mastu', 'michou', 'theodort']",2
90,90,BOQ1FdoBBmI,1702951718.4469686,2023-12-16T00:59:24-08:00,850K subscribers,40,719,Recently Trending,Film & Animation,FR,"249,690 views",30K,1.1K,True,"['théorie', 'Chronik Fiction', 'Fabio Soares', 'Mike Zonnenberg', 'cinéma', 'web-série', 'série digitale', 'analyse', 'critique', 'film', 'chronique', 'berlin', 'lacasadepapel', 'netflix', 'berlin trailer', 'berlin bande annonce vf', 'berlin bande annonce fr']",2
91,91,UUYtl783ZS0,1702951718.4469686,2023-12-05T10:00:20-08:00,442K subscribers,41,7361,Recently Trending,Music,FR,"841,436 views",23K,696,True,"['humour', 'emission', 'lateshow', 'live', 'stream', 'streaming', 'interview', 'happening', 'maximebiaggi', 'grimkujow', 'twitch']",2
92,92,M9p7xS8nKFg,1702951718.4469686,2023-12-17T14:05:56-08:00,985K subscribers,42,11341,Recently Trending,Sports,FR,"229,714 views",11K,166,True,"['foot', 'football', 'streaming', 'direct', 'match', 'sowdred', 'ligue 1', 'paris saint germain', 'paris sg', 'paris', 'psg', 'lille osc', 'lille', 'losc', 'psg lille', 'psg vs lille', 'lille psg', 'lille vs psg', 'lille paris', 'lille vs paris', 'lille paris sg', 'lille vs paris sg', 'losc psg', 'losc vs psg', 'losc paris', 'losc vs paris', 'match en direct', 'matche en direct', 'match en direct aujourd-hui', 'lille psg live', 'losc psg live', 'lille paris live', 'psg lille live', 'psg live', 'messi', 'amazon prime live', 'amazon prime', 'psg match', 'leo']",2
93,93,n_Dd7h_7cOM,1702951718.4469686,2023-12-15T09:00:47-08:00,987K subscribers,43,181,Recently Trending,Music,FR,"272,272 views",8.3K,171,False,"['filtré', 'timal filtré', 'timal gazo', 'gazo filtré', 'timal', 'timal caméléon', 'booba caméléon', 'timal booba', 'timal gazo filtré', 'timal booba caméléon', 'timal vatos', 'timal chien', 'sdm bolide allemand', 'timal la 15', 'timal la 16', 'timal la 14', 'Timal zed', 'zed timal', 'timal feat zed', 'zed feat timal', 'timal sur écoute', 'sur écoute timal', 'zed sur écoute', 'sur écoute zed', 'timal zed écoute', 'écoute zed timal', 'clip timal zed', 'timal zed clip', 'clip zed timal', 'zed timal clip', 'gazo timal', 'booba timal']",2
94,94,4R7vRFGJr3k,1702951718.4469686,2023-12-17T06:59:58-08:00,28.4M subscribers,44,191,Recently Trending,Music,FR,"4,103,900 views",460K,44K,True,"['JYP Entertainment', 'JYP', 'ITZY', '있지', 'イッチ', '예지', '리아', '류진', '채령', '유나', 'YEJI', 'LIA', 'RYUJIN', 'CHAERYEONG', 'YUNA', 'イェジ', 'リア', 'リュジン', 'チェリョン', 'ユナ', 'อิทจี', 'เยจี', 'ลีอา', 'รยูจิน', 'แชรยอง', 'ยูนา', 'ITZY VIDEOS', 'ITZY BEHIND', 'MV', 'ITZY MV', 'ITZY MUSIC VIDEOS', 'Teaser', 'ITZY Teaser', 'ITZY VLOG', 'VLOG', ""IT'z Different"", ""IT'z ICY"", ""IT'z ME"", 'Not Shy', 'GUESS WHO', 'CRAZY IN LOVE', 'DALLA DALLA', 'ICY', 'WANNABE', '마.피.아.IN THE MORNING', 'LOCO', 'ITZY?ITZY!', 'ITZY CHECKMATE', 'CHECKMATE', 'ITZY COMEBACK', 'SNEAKERS', 'Boys Like You', 'CHESHIRE', 'KILL MY DOUBT', 'CAKE', 'BORN TO BE']",2
95,95,7gA9o4myieI,1702951718.4469686,2023-12-10T09:00:10-08:00,270K subscribers,45,9940,Recently Trending,Comedy,FR,"274,308 views",6.7K,1K,True,"['Seb Mellia', 'Humour', 'stand up', 'sketch', 'one man show', 'spectacle', 'vlog', 'podcast', '4 comiques dans le vent', 'Seb Mellia ne perd jamais', 'impro', 'show', 'drole', 'humoriste', 'divertissement', 'émission', 'Jerome Niel', 'Maxime', 'Blandine Lehout', 'Quick n toast', 'bagarre', 'couple', 'Amsterdam', 'Japon', 'La Ferme Celebrité']",2
96,96,6f1Bg-fqBRg,1702951718.4469686,2023-12-17T02:00:12-08:00,367K subscribers,46,2566,Recently Trending,Entertainment,FR,"126,426 views",11K,436,True,"['one piece', 'one piece théorie', 'one piece theory', 'one', 'piece', 'theorie', 'one piece 1088', 'one piece chapitre', 'one piece spoil', 'Luffy', 'Nika', 'Gomu gomu no mi', 'hito hito no mi model nika', 'Joyboy', 'Haki', 'devil fruit', ""L'HISTOIRE DE LUFFY ET LA FIN DE ONE PIECE EXPLIQUÉE !"", 'Barbe Noire', 'Marshall D. teach', 'Teach vs Luffy', 'la disparition du gomu gomu no mi', 'Haki des rois', 'Luffy éveil', 'One Piece 1102', 'one piece review', 'Goji', 'anime', 'manga', 'Oda', 'iceberg one piece']",2
97,97,HRfFR2z35hk,1702951718.4469686,2023-12-17T03:30:09-08:00,1.37M subscribers,0,58,Short,Gaming,FR,"562,414 views",60K,422,True,"['fortnite', 'zetfar', 'lama', 'aléatoire', 'challenge', 'défi', 'stuff', 'skins', 'wazz', 'manette', 'chapitre 5', 'halloween', 'skin', 'chapitre 4', 'chapitre 4 saison 4', 'découverte', 'chapitre 1', 'cache', 'pleasant', 'park', 'chapter 1', 'zetfarcup', 'zetfarcupzb', 'zetfarcupzb fortnite', 'sprint', 'escalade', 'turbo', 'build', 'ravitaillements', '1 unreal', 'vs', 'tous', 'les', 'modes', 'sur', 'scuf', 'envision', 'pro', 'cheater', 'inoxtag', 'faire', 'top', 'dans', 'pays', 'du', 'monde', 'combo', 'tryhard', 'cachettes', 'saison OG', 'lego', 'lego fortnite', 'emote', 'exclusive', '10 items', 'attendus']",2
98,98,6MXIRMi1tS8,1702951718.4469686,2023-12-17T01:00:08-08:00,31.1K subscribers,1,60,Short,People & Blogs,FR,"341,593 views",24K,93,False,,2
99,99,ZjrQ11eSsJY,1702951718.4469686,2023-12-17T01:11:34-08:00,313K subscribers,2,60,Short,Science & Technology,FR,"232,699 views",18K,106,True,,2
100,100,9P6xy-AC9Is,1702951718.4469686,2023-12-17T04:41:14-08:00,1.98M subscribers,3,42,Short,Entertainment,FR,"229,855 views",15K,21,True,,2
101,101,r1R7JgStaBw,1702951718.4469686,2023-12-17T03:30:20-08:00,40.9K subscribers,4,47,Short,Gaming,FR,"188,157 views",10K,9,False,"['minecraft', 'minecraft ninjaxx', 'ninjaxx', 'ninjax', 'unchained', 'unchained_off', 'unchained off', 'fortnite', 'gaming', 'mise à jour', 'fortnite mise à jour', 'vbucks', 'unchained minecraft', 'mc', 'fuze', 'troll minecraft', 'noob minecraft', 'aventure', 'fuze 3', 'minecraft mais', 'minecraft fr', 'cheat', 'cheat minecraft', 'tnt minecraft', 'mrbeast', 'mode', 'mode minecraft', 'bombe nucléaire', '100 tnt', 'golem']",2
102,102,DO3dTP9h6ho,1702951718.4469686,2023-12-17T04:10:00-08:00,134K subscribers,5,29,Short,Gaming,FR,"141,878 views",16K,42,False,"['minecraft', 'minecraft shorts', 'minecraft short', 'minecraft tuto', 'minecraft easy tuto', 'minecraft shorts tuto', 'minecraft easy shorts', 'minecraft tuto short', 'minecraft tutoriel', 'minecraft survival tuto', 'minecraft astuce', 'minecraft astuce shorts', 'minecraft astuce short', 'minecraft astuce débutant', 'minecraft funny', 'minecraft memes', 'minecraft meme', 'easycraft', 'seed cheat minecraft', 'stuff cheat seed minecraft', 'minecraft seed speedrun']",2
103,103,koGrjBe5kFE,1702951718.4469686,2023-12-17T02:00:34-08:00,31.1K subscribers,6,60,Short,People & Blogs,FR,"186,389 views",13K,78,False,,2
104,104,3mHwQzN2Po4,1702951718.4469686,2023-12-16T09:31:09-08:00,1.77M subscribers,7,52,Short,People & Blogs,FR,"460,376 views",25K,81,True,,2
105,105,67rSnZKLef0,1702951718.4469686,2023-12-17T09:00:04-08:00,327K subscribers,8,58,Short,People & Blogs,FR,"70,173 views",4.7K,63,True,,2
106,106,BSop5zkR7KY,1702951718.4469686,2023-12-17T10:38:20-08:00,1.01M subscribers,9,15,Short,Comedy,FR,"83,457 views",7.7K,116,True,,2
107,107,_Q4pcR5H2OE,1702951718.4469686,2023-12-16T01:30:17-08:00,290K subscribers,10,60,Short,Entertainment,FR,"447,921 views",72K,605,True,,2
108,108,iFDN9N-GIrw,1702951718.4469686,2023-12-16T02:05:05-08:00,751K subscribers,11,60,Short,Entertainment,FR,"679,464 views",Like,477,True,,2
109,109,9AYGP5imeWk,1702951718.4469686,2023-12-16T07:02:32-08:00,321K subscribers,12,60,Short,Entertainment,FR,"406,359 views",23K,37,True,,2
110,110,l-ERLYPYFcc,1702951718.4469686,2023-12-17T09:49:39-08:00,771K subscribers,13,33,Short,People & Blogs,FR,"381,013 views",47K,167,True,['#Shorts'],2
111,111,IMsEt4YBF3Q,1702951718.4469686,2023-12-16T09:20:20-08:00,22.9K subscribers,14,42,Short,Gaming,FR,"255,346 views",16K,33,False,,2
0,0,bfmUsDJjBkU,1702955597.5071402,2023-12-17T02:02:00-08:00,5.79M subscribers,0,4585,Now,Comedy,FR,"2,521,847 views",183K,3.2K,True,"['Mastu', 'Mastus', 'Humour', 'Matsu', 'loat', 'mastu enfer', 'mastu michou', 'michou', 'mastu zafeel', 'zafeel', 'hctuan', 'mchou enfer']",3
1,1,9gAADPMt1FU,1702955597.5071402,2023-12-17T10:28:05-08:00,724K subscribers,1,1056,Now,Comedy,FR,"338,112 views",58K,1.3K,True,,3
2,2,LnW-DwBrWLk,1702955597.5071402,2023-12-17T07:59:59-08:00,4M subscribers,0,827,Now,Comedy,FR,"499,655 views",40K,565,True,,3
3,3,K4GQRiuNpP0,1702955597.5071402,2023-12-17T08:00:33-08:00,1.99M subscribers,1,2773,Now,Howto & Style,FR,"307,450 views",13K,440,False,,3
4,4,9RhWXPcKBI8,1702955597.5071402,2023-12-16T09:00:01-08:00,219M subscribers,2,1627,Now,Entertainment,FR,"63,748,137 views",3M,50K,True,,3
5,5,aZOiDNzoeWQ,1702955597.5071402,2023-12-17T02:17:24-08:00,9.19M subscribers,3,1679,Now,Entertainment,FR,"986,533 views",64K,1.7K,True,"['michou', 'roue', 'tournes', 'souffres', 'vidéo', 'Tu']",3
6,6,M9p7xS8nKFg,1702955597.5071402,2023-12-17T14:05:56-08:00,985K subscribers,4,11341,Now,Sports,FR,"229,751 views",11K,166,True,"['foot', 'football', 'streaming', 'direct', 'match', 'sowdred', 'ligue 1', 'paris saint germain', 'paris sg', 'paris', 'psg', 'lille osc', 'lille', 'losc', 'psg lille', 'psg vs lille', 'lille psg', 'lille vs psg', 'lille paris', 'lille vs paris', 'lille paris sg', 'lille vs paris sg', 'losc psg', 'losc vs psg', 'losc paris', 'losc vs paris', 'match en direct', 'matche en direct', 'match en direct aujourd-hui', 'lille psg live', 'losc psg live', 'lille paris live', 'psg lille live', 'psg live', 'messi', 'amazon prime live', 'amazon prime', 'psg match', 'leo']",3
7,7,FuNLTys8xtQ,1702955597.5071402,2023-12-17T07:41:08-08:00,2.51M subscribers,5,390,Now,Comedy,FR,"308,375 views",39K,619,True,"['kevin tran', 'kevin tran 陈科伟', 'rire jaune', 'le rire jaune', 'show jaune', 'le show jaune', 'kevin tran empereur', 'henry tran', 'cuisine', 'après mes toilettes', 'après mes toilettes ma cuisine', 'kevin tran cuisine', 'présentation de ma cuisine', 'cuisine tour', 'kitchen tour']",3
8,8,vvnlLGFv2mI,1702955597.5071402,2023-12-17T03:00:45-08:00,1.54M subscribers,6,2208,Now,Autos & Vehicles,FR,"597,415 views",43K,1.2K,True,,3
9,9,4R7vRFGJr3k,1702955597.5071402,2023-12-17T06:59:58-08:00,28.4M subscribers,7,191,Now,Music,FR,"4,179,660 views",462K,44K,True,"['JYP Entertainment', 'JYP', 'ITZY', '있지', 'イッチ', '예지', '리아', '류진', '채령', '유나', 'YEJI', 'LIA', 'RYUJIN', 'CHAERYEONG', 'YUNA', 'イェジ', 'リア', 'リュジン', 'チェリョン', 'ユナ', 'อิทจี', 'เยจี', 'ลีอา', 'รยูจิน', 'แชรยอง', 'ยูนา', 'ITZY VIDEOS', 'ITZY BEHIND', 'MV', 'ITZY MV', 'ITZY MUSIC VIDEOS', 'Teaser', 'ITZY Teaser', 'ITZY VLOG', 'VLOG', ""IT'z Different"", ""IT'z ICY"", ""IT'z ME"", 'Not Shy', 'GUESS WHO', 'CRAZY IN LOVE', 'DALLA DALLA', 'ICY', 'WANNABE', '마.피.아.IN THE MORNING', 'LOCO', 'ITZY?ITZY!', 'ITZY CHECKMATE', 'CHECKMATE', 'ITZY COMEBACK', 'SNEAKERS', 'Boys Like You', 'CHESHIRE', 'KILL MY DOUBT', 'CAKE', 'BORN TO BE']",3
10,10,Ap7qPHeZcgM,1702955597.5071402,2023-12-16T23:18:06-08:00,1.38M subscribers,8,481,Now,Entertainment,FR,"328,400 views",5K,354,False,"['colby covington', 'donald trump', 'droitufc', 'leon edwards', 'mma', 'sports de combat', 'ufc']",3
11,11,6f1Bg-fqBRg,1702955597.5071402,2023-12-17T02:00:12-08:00,367K subscribers,9,2566,Now,Entertainment,FR,"127,510 views",11K,437,True,"['one piece', 'one piece théorie', 'one piece theory', 'one', 'piece', 'theorie', 'one piece 1088', 'one piece chapitre', 'one piece spoil', 'Luffy', 'Nika', 'Gomu gomu no mi', 'hito hito no mi model nika', 'Joyboy', 'Haki', 'devil fruit', ""L'HISTOIRE DE LUFFY ET LA FIN DE ONE PIECE EXPLIQUÉE !"", 'Barbe Noire', 'Marshall D. teach', 'Teach vs Luffy', 'la disparition du gomu gomu no mi', 'Haki des rois', 'Luffy éveil', 'One Piece 1102', 'one piece review', 'Goji', 'anime', 'manga', 'Oda', 'iceberg one piece']",3
12,12,tfht2Piljo8,1702955597.5071402,2023-12-17T04:07:22-08:00,492K subscribers,10,334,Now,Entertainment,FR,"376,697 views",2.9K,1.5K,True,,3
13,13,pIqARNahjJw,1702955597.5071402,2023-12-17T10:00:30-08:00,564K subscribers,11,545,Now,Science & Technology,FR,"130,088 views",15K,495,True,"['iphone', 'apple', 'imessage', 'rcs', 'bulle bleue', 'bulle verte', 'léo duff', 'beeper', 'android', 'ios']",3
14,14,n4hyVsz7FMA,1702955597.5071402,2023-12-17T01:00:27-08:00,2.43M subscribers,12,2988,Now,Entertainment,FR,"114,104 views",10K,328,True,"['horia', 'youtubeuse', 'true crime', 'thread horreur', 'Horia horreur', 'horroria', 'histoire horreur', 'la sombre histoire de', 'sombre histoire Horia', 'Lady Diana', 'la sombre histoire de lady diana', 'sombre histoire lady diana', 'lady diana reportage', 'lady diana documentaire', 'famille royale', 'prince charles', 'reine elisabeth', 'aromazone', 'skincare', 'mystère', 'étrange', 'lady diana mystère', 'histoire de lady diana', 'lady di', 'princesse diana', 'théories', 'lady diana théories', 'affaire', 'histoire lady di']",3
15,15,usTqmg0xNZY,1702955597.5071402,2023-12-15T08:22:26-08:00,7.24M subscribers,13,2246,Now,Entertainment,FR,"1,858,715 views",170K,4.6K,True,"['mcfly', 'carlito', 'golden moustache', 'fatshow', 'badass', 'dab', ""j'effectue"", 'le', 'et', 'on', 'appelle', 'des', 'gens', 'au', 'hasard']",3
16,16,SwlRSu0jjyU,1702955597.5071402,2023-12-17T08:25:00-08:00,8.33M subscribers,14,985,Now,Comedy,FR,"1,616,536 views",120K,1.2K,True,"['amixem', 'humour', 'delire']",3
17,17,FrTfxDY2eyI,1702955597.5071402,2023-12-17T08:23:46-08:00,315K subscribers,15,621,Now,Comedy,FR,"95,203 views",13K,364,True,,3
18,18,ziq9BzdRvwY,1702955597.5071402,2023-12-17T10:00:28-08:00,146K subscribers,16,3163,Now,Entertainment,FR,"140,484 views",6.9K,172,True,,3
19,19,W_l0npDNILY,1702955597.5071402,2023-12-17T05:00:31-08:00,2.56M subscribers,17,966,Now,Gaming,FR,"553,484 views",42K,391,True,"['terracid', 'laink', 'wankil', 'lego', 'fortnite', 'minecraft', 'build', 'construction']",3
20,20,NGfpot1_2Is,1702955597.5071402,2023-12-17T03:00:12-08:00,548K subscribers,18,2023,Now,Howto & Style,FR,"99,623 views",9.1K,381,True,"['honeyshay', 'honey shay', 'Chaiyna', 'comores', 'lifestyle', 'beauté', 'vlog', 'famille', 'family game', 'habitue toi', 'Family', 'Family Games', 'Océane', 'Yoan', 'Yo4real']",3
21,21,TOIAdoDwYYs,1702955597.5071402,2023-12-17T01:30:05-08:00,230K subscribers,19,1207,Now,Gaming,FR,"94,715 views",8.4K,246,True,"['pokemon random', 'choisi ton starter', 'choisi ton pokemon', 'challenge pokemon', 'randomizer pokemon violet', 'randomizer pokemon ecarlate']",3
22,22,uKpgHMkjF_8,1702955597.5071402,2023-12-17T08:30:12-08:00,92.1K subscribers,20,1445,Now,Film & Animation,FR,"55,512 views",5.4K,337,False,"['film', 'films', 'chronique', 'cinema', 'saga', 'humour', 'analyse', 'box office', 'critique', 'resume', 'la suite de trop', 'video', 'youtube', 'critique cinema', 'critique de film', 'Cinéphile', 'Noel', 'Christmas', 'Aladdin', 'Le Roi Lion', 'La Belle et le Bete', 'Pocahontas', 'Disney', 'Le Retour de Jafar', 'Karime Debbache', 'Crossed', 'Chroma', 'Guillaume Cassar', 'Notserious', 'la petite sirene', 'mickey', 'La petite sirene 2', 'La Belle et le Clochard', 'La Belle et le Clochard 2', 'Le Bossu de Notre Dame', 'Cendrillon', 'PeterPan', 'Les 101 Dalmatiens', 'Cruella', 'Tarzan']",3
23,23,LY0Ll7LRYDI,1702955597.5071402,2023-12-17T09:09:58-08:00,5.43M subscribers,21,953,Now,Entertainment,FR,"772,803 views",64K,4.2K,True,"['seb la frite', 'seb', 'ce mec', 'seblafrite', 'sebastien frit', 'histoire', 'incroyable', 'mystère', 'musique', 'documentaire', 'Tecktonik', 'danse electro', 'metropolis', 'rungis', 'teck tonik', 'story', 'France']",3
24,24,lTmJJ3AGizk,1702955597.5071402,2023-12-17T04:00:30-08:00,106K subscribers,22,1456,Now,Gaming,FR,"96,931 views",4.5K,267,False,"['jeux vidéo', 'gaming', 'clip', 'twitch', 'twitchfr', 'montage', 'best of', 'shorts', 'tiktok', 'humour', 'drole', 'wii sports', 'wii sports resort', 'matt', 'wii']",3
25,25,SG065LnQ08Q,1702955597.5071402,2023-12-16T10:02:38-08:00,688K subscribers,23,1941,Now,Entertainment,FR,"195,175 views",14K,200,True,"['billy', 'rebeudeter', 'jeu', 'jeux', 'horreur', 'fears', 'to', 'fantom', 'fathom', 'live', 'twitch', 'rediff', 'rediffusion', 'react']",3
